product_1_id,product_1_name,product_2_id,product_2_name,similarity,name_similarity,brand_similarity,size_similarity
PRD004e547d,Murad Vita-C Brightening Serum,PRDe74180c3,Brightening Serum,75.9,100.0,45.45454545454546,50
PRD010b324c,Eveline Cosmetics Serum Shot,PRD6164d64d,Caia Cosmetics Beauty Shot Face Serum,59.6,70.37037037037037,45.45454545454546,50
PRD012276ed,Plum Goodness Get Non-Sticky BodyLovin' Vanilla Vibes Body Butter Mini,PRD53e6dd0d,Lavender Body Butter,64.9,80.0,45.45454545454546,50
PRD015cf732,öka Clear Complexion Gel Serum Acne-Prone Skin,PRDf55f26f8,15% Vitamin C Complex,73.6,61.111111111111114,100.0,50
PRD015fedbc,The Ordinary Matrixyl 10% + HA,PRD1a37a082,The Ordinary Marine Hyaluronics,84.0,80.0,100.0,50
PRD01a84474,Essential Oil Face Serum - Linda Meredith Serum Refill,PRDf2ddeefc,Saving Face Serum Solid Face Serum,62.9,70.58823529411764,54.54545454545454,50
PRD01f73956,I Love Wellness Sleep Body Butter,PRDa700eca3,I Love Cosmetics Body Butter Mango & Papaya,77.9,68.85245901639344,100.0,50
PRD020c1533,Sunny Silk Conditioner Bar,PRD22c33c78,Conditioner Bars,74.1,96.7741935483871,45.45454545454546,50
PRD02433fbc,Strawberry Body Butter,PRD8f3c0577,Memoriex Strawberry Body Butter,75.9,100.0,45.45454545454546,50
PRD033d0941,KinKind Shampoo Bar Set,PRDeb8c5891,KinKind Shampoo & Bodywash Bars Set,86.8,85.0,100.0,50
PRD036c140f,Nip + Fab Hyaluronic Fix 2% Extreme4,PRDfce740e3,CeraVe Hydrating Hyaluronic Acid Serum,58.8,63.1578947368421,54.54545454545454,50
PRD03dcabb3,Nourishing Conditioner Bar,PRDd804dba8,Ecostore Nourishing Conditioner Bar,79.1,100.0,54.54545454545454,50
PRD04effb8f,Give Me Unisex Niacinamide Face Serum,PRD8363fb23,Vata Face Serum,67.4,84.61538461538461,45.45454545454546,50
PRD05104ad3,"KinKind Shampoo and Conditioner Bars for Damaged, Frizzy & Curly Hair",PRD22c33c78,Conditioner Bars,82.3,100.0,63.63636363636363,50
PRD05589f51,Vida Bars Reyna Solid Conditioner Bar,PRD22c33c78,Conditioner Bars,77.3,96.7741935483871,54.54545454545454,50
PRD057a3e57,Original Soap & Glory The Righteous Butter Moisturising Body Lotion Pump,PRDd4a6232d,Soap & Glory The Righteous Butter Body Butter,62.5,81.3953488372093,36.36363636363637,50
PRD0590e833,Davines Love Shampoo Bar,PRDbc45741b,Davines DEDE Shampoo Bar,88.1,87.5,100.0,50
PRD059c4d75,Aromatic Body Butter Vanilla,PRD0ac1e5bb,Tree Hut Whipped Body Butter Vanilla,69.9,83.33333333333334,54.54545454545454,50
PRD05a78c1c,(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,PRD4f126442,(bulkx6) Anihana Conditioner Bar Lavender & Lemon -oily And Fine,87.1,76.63551401869158,100.0,100
PRD05f3959d,Geek & Gorgeous 101 HA 5 Rich Serum,PRD8dad10bb,Geek & Gorgeous 101 HA 5 Light Serum,90.0,90.9090909090909,100.0,50
PRD063e7d5e,Foamie You RE Adorabowl Hair Conditioner Bar,PRD22c33c78,Conditioner Bars,74.1,96.7741935483871,45.45454545454546,50
PRD06a28bad,The Fragrance Free One - Solid Conditioner Bar,PRD22c33c78,Conditioner Bars,77.3,96.7741935483871,54.54545454545454,50
PRD06c6bc74,Unpacked Living Conditioner Bar,PRD22c33c78,Conditioner Bars,74.1,96.7741935483871,45.45454545454546,50
PRD071106d5,Wideye Hair Shampoo Bar,PRD94df6e4e,Shampoo Bar,75.9,100.0,45.45454545454546,50
PRD0723e05d,Gently Does It Shampoo,PRD94df6e4e,Shampoo Bar,63.7,77.77777777777779,45.45454545454546,50
PRD073ac21d,Eco Warrior Sensitive Scalp Shampoo Bar,PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,79.0,70.96774193548387,100.0,50
