product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity,valid_match
PRD015fedbc,PRD9c4343cd,The Ordinary Matrixyl 10% + HA,The Ordinary Multi-Peptide + HA Serum,The Ordinary,The Ordinary,Face Serum,,,,,10.4,21.56,GBP,GBP,Boots.com,The Ordinary,77.9,57.86,100.0,50.0,True
PRD01f73956,PRDf2b13eb3,I Love Wellness Sleep Body Butter,I Love Coconut & Cream Body Butter,I Love,I Love,Body Butter,,,,,9.99,2.49,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Wilko,83.2,63.2,100.0,50.0,True
PRD033d0941,PRDeb8c5891,KinKind Shampoo Bar Set,KinKind Shampoo & Bodywash Bars Set,KinKind Shampoo,KinKind Shampoo,Shampoo Bar,,,,,25.5,9.95,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,KinKind,94.3,74.29,100.0,50.0,True
PRD03dcabb3,PRD2c4133ca,Nourishing Conditioner Bar,alott - nourishing conditioner bar,Nourishing Conditioner,,Conditioner Bar,,,,,7.0,16.0,GBP,GBP,Marigold Charms,Jjungl,90.0,90.0,50.0,50.0,True
PRD0590e833,PRDbc45741b,Davines Love Shampoo Bar,Davines DEDE Shampoo Bar,Davines,Davines,Shampoo Bar,,,,,18.5,18.5,GBP,GBP,Cult Beauty,North Laine Hair Company,97.0,77.02,100.0,50.0,True
PRD059c4d75,PRD1c771653,Aromatic Body Butter Vanilla,skinnydip london Supermarket Vanilla Body Butter,Aromatic Body,,Body Butter,,,200.0,g,22.98,8.0,GBP,GBP,israel catalog,Skinnydip,75.7,65.65,50.0,50.0,True
PRD05a78c1c,PRDc9b3c65a,(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,Anihana Conditioner Bar Lavender & Lemon,,Anihana Conditioner,Conditioner Bar,60.0,g,60.0,g,114.93,6.0,GBP,GBP,eBay,HealthPost.co.nz,76.2,56.15,50.0,100.0,True
PRD05f3959d,PRD8dad10bb,Geek & Gorgeous 101 HA 5 Rich Serum,Geek & Gorgeous 101 HA 5 Light Serum,Geek,Geek,Face Serum,,,5.0,l,8.99,8.99,GBP,GBP,Superdrug.com,Superdrug.com,100.0,85.52,100.0,50.0,True
PRD073ac21d,PRD3d2887a7,Eco Warrior Sensitive Scalp Shampoo Bar,Eco Warrior Blue Shampoo Bar,Eco Warrior,Eco Warrior,Shampoo Bar,,,,,4.35,6.5,GBP,GBP,Waitrose & Partners,Justmylook,97.0,76.97,100.0,50.0,True
PRD07b14a1b,PRD8ddeb742,Palmer's Cocoa Butter Formula Body Lotion,Palmer's Cocoa Butter Formula Lotion,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,6.0,4.49,GBP,GBP,Tesco,Boots.com,100.0,94.29,100.0,50.0,True
PRD09cc226c,PRDe4894e60,ecoLiving Shampoo Bar - Soap Free,ecoLiving Shampoo bar Fragrance Free /,,,Shampoo Bar,,,25.0,g,2.0,2.8,GBP,GBP,Ecoliving,Eco Bee,81.4,81.4,50.0,50.0,True
PRD09d04044,PRD6f3fe59b,Bronnley Eclectic Elements Body Butter,Bronnley Eclectic Elements Zealous Flower Body Butter,Bronnley Eclectic,Bronnley Eclectic,Body Butter,200.0,ml,200.0,ml,13.36,13.36,GBP,GBP,eBay,eBay,100.0,88.57,100.0,100.0,True
PRD0ab70cfb,PRD0f733f9f,Arista Anti-Dandruff Shampoo Bar,Arista Shampoo Bar Anti-dandruff,Arista Anti-Dandruff,Arista Shampoo,Shampoo Bar,,,80.0,g,6.75,6.89,GBP,GBP,Dolphin Fitness,Fairhaven Wholefoods,85.0,100.0,0.0,50.0,True
