price_1,brand_2,size_value_2,currency_2,product_1_id,lexical_similarity,product_1_name,product_2_name,size_similarity,retailer_1,size_unit_1,size_value_1,brand_1,size_unit_2,currency_1,price_2,brand_similarity,match_source,product_2_id,retailer_2,similarity,category
3.5,Sanctuary Spa,300.0,GBP,PRDff85511b,71.85,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,50.0,Amazon.co.uk,,,Sanctuary Spa,ml,GBP,16.0,100.0,main_engine,PRD78142e75,Ocado,89.6,Body Butter
3.5,Sanctuary Spa,,GBP,PRDff85511b,70.0,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Lily & Rose Body Butter,50.0,Amazon.co.uk,,,Sanctuary Spa,,GBP,13.0,100.0,main_engine,PRD913efd69,Boots.com,91.6,Body Butter
3.5,Sanctuary Spa,,GBP,PRDff85511b,62.31,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Golden Sandalwood Melting Body Butter,50.0,Amazon.co.uk,,,Sanctuary Spa,,GBP,15.99,100.0,main_engine,PRD9f935292,Superdrug.com,85.1,Body Butter
3.5,Sanctuary Spa,,GBP,PRDff85511b,86.67,Sanctuary Spa Signature Collection Body Butter,Sanctuary Spa Body Butter,50.0,Amazon.co.uk,,,Sanctuary Spa,,GBP,13.0,100.0,main_engine,PRDd987acec,Boots.com,100.0,Body Butter
7.49,Soap,200.0,GBP,PRDf4402683,61.52,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Limited Edition Body Butter Cherry Wild,50.0,Boots.com,,,Soap,ml,GBP,5.99,100.0,main_engine,PRDad80f5ee,Boots.com,86.6,Body Butter
7.49,Soap,200.0,GBP,PRDf4402683,67.32,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Berry & Bright Body Butter,50.0,Boots.com,,,Soap,ml,GBP,6.0,100.0,main_engine,PRD47ea1152,Boots.com,92.0,Body Butter
7.49,Soap,,GBP,PRDf4402683,90.0,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Original The Righteous Butter Body Lotion,50.0,Boots.com,,,Soap,,GBP,3.66,100.0,main_engine,PRDe4842ed8,eBay,100.0,Body Butter
7.49,Soap,,GBP,PRDf4402683,60.06,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Limited Edition Fresh As Fig Body Butter,50.0,Boots.com,,,Soap,,GBP,5.99,100.0,main_engine,PRDa783e838,Boots.com,83.0,Body Butter
7.49,Soap,,GBP,PRDf4402683,66.32,Soap & Glory Body Butter The Righteous Butter,Soap & Glory MAGNIFI-COCO Body Butter,50.0,Boots.com,,,Soap,,GBP,7.49,100.0,main_engine,PRD30a3b49a,Boots.com,87.4,Body Butter
7.49,Soap,,GBP,PRDf4402683,63.3,Soap & Glory Body Butter The Righteous Butter,Soap & Glory Call of Fruity Body Butter,50.0,Boots.com,,,Soap,,GBP,7.49,100.0,main_engine,PRD1e2d2b20,Boots.com,90.0,Body Butter
7.49,Soap,,GBP,PRDf4402683,100.0,Soap & Glory Body Butter The Righteous Butter,Soap & Glory The Righteous Butter Body Butter,50.0,Boots.com,,,Soap,,GBP,7.49,100.0,main_engine,PRDd4a6232d,Boots.com,100.0,Body Butter
7.49,Soap,,GBP,PRDf4402683,94.29,Soap & Glory Body Butter The Righteous Butter,Soap and Glory The Righteous Body Butter,50.0,Boots.com,,,Soap,,GBP,9.99,100.0,main_engine,PRDeff54c48,Boots.com,100.0,Body Butter
7.49,Soap,,GBP,PRDf4402683,100.0,Soap & Glory Body Butter The Righteous Butter,Soap & Glory The Righteous Butter Body Butter,50.0,Boots.com,,,Soap,,GBP,49.85,100.0,main_engine,PRDd4a6232d,eBay - jadashats-us,100.0,Body Butter
7.49,,,GBP,PRDf4402683,78.46,Soap & Glory Body Butter The Righteous Butter,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,50.0,Boots.com,,,Soap,,GBP,20.99,50.0,main_engine,PRDa19c3443,Amazon.co.uk - Amazon.co.uk-Seller,77.9,Body Butter
7.49,Soap,600.0,GBP,PRDf4402683,94.29,Soap & Glory Body Butter The Righteous Butter,Soap & And Glory The Righteous Body Butter,50.0,Boots.com,,,Soap,ml,GBP,20.39,100.0,main_engine,PRDa2063a8c,eBay - zorilus7,100.0,Body Butter
1.49,Derma V10,220.0,GBP,PRDe1b4ac16,82.38,Derma V10 Cocoa Body Butter,Derma V10 Body Butter Coconut,50.0,Wilko,,,Derma V10,ml,GBP,3.99,100.0,main_engine,PRD8ed88d88,Amazon.co.uk - Amazon.co.uk-Seller,100.0,Body Butter
1.49,Derma V10,4.0,GBP,PRDe1b4ac16,68.5,Derma V10 Cocoa Body Butter,Derma V10 Body Butter Moisturising Cream Vegan Friendly (Coconut),50.0,Wilko,,,Derma V10,pack,GBP,8.1,100.0,main_engine,PRDfb8bacb6,Amazon.co.uk - Amazon.co.uk-Seller,89.2,Body Butter
3.99,Derma V10,4.0,GBP,PRD8ed88d88,82.22,Derma V10 Body Butter Coconut,Derma V10 Body Butter Moisturising Cream Vegan Friendly (Coconut),0.0,Amazon.co.uk - Amazon.co.uk-Seller,ml,220.0,Derma V10,pack,GBP,8.1,100.0,main_engine,PRDfb8bacb6,Amazon.co.uk - Amazon.co.uk-Seller,94.3,Body Butter
1.0,Argan Oil,250.0,GBP,PRDfd79310d,100.0,Argan Oil Body Butter,Argan Oil Body Butter,100.0,Wilko,ml,250.0,Argan Oil,ml,GBP,1.0,100.0,main_engine,PRDfd79310d,The Range,100.0,Body Butter
11.99,Tree Hut,,GBP,PRD67541c15,81.07,Tree Hut Watermelon Whipped Body Butter,Tree Hut Whipped Body Butter Vanilla,50.0,Boots.com,,,Tree Hut,,GBP,11.99,100.0,main_engine,PRD0ac1e5bb,Boots.com,100.0,Body Butter
11.99,Tree Hut,,GBP,PRD67541c15,75.15,Tree Hut Watermelon Whipped Body Butter,Tree Hut Coco Colada Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,11.99,100.0,main_engine,PRD7afe8a16,Boots.com,98.3,Body Butter
11.99,Tree Hut,,GBP,PRD67541c15,75.15,Tree Hut Watermelon Whipped Body Butter,Tree Hut Tropic Glow Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,11.99,100.0,main_engine,PRD8fe440bd,Boots.com,97.3,Body Butter
11.99,Tree Hut,,GBP,PRD67541c15,75.15,Tree Hut Watermelon Whipped Body Butter,Tree Hut Moroccan Rose Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,15.99,100.0,main_engine,PRD4a89a3ef,Boots.com,96.7,Body Butter
11.99,Tree Hut,,GBP,PRD67541c15,93.33,Tree Hut Watermelon Whipped Body Butter,Tree Hut Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,15.99,100.0,main_engine,PRD3e158b60,Holland & Barrett,100.0,Body Butter
11.99,Tree Hut,,GBP,PRD67541c15,72.37,Tree Hut Watermelon Whipped Body Butter,Tree Hut Tropic Glow Firming Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,15.99,100.0,main_engine,PRD3b9ce914,Holland & Barrett,94.9,Body Butter
11.99,Dr. Organic,,GBP,PRD9046cb21,53.33,Dr Organic Aloe Vera Body Butter,Dr. Organic Manuka Honey Body Cream,50.0,Holland & Barrett,,,Dr Organic,,GBP,11.99,100.0,main_engine,PRD4a7fd539,Amazon.co.uk,73.5,Body Butter
16.0,,200.0,GBP,PRDb3c00755,44.56,The White Company Seychelles Body Butter,nalas baby Body Butter Duo,100.0,LOOKFANTASTIC,ml,200.0,The White,ml,GBP,14.0,50.0,main_engine,PRD4452b39d,Boots.com,65.2,Body Butter
4.99,Garnier,,GBP,PRD2ce40b46,49.4,Garnier Body Superfood Repairing Body Butter Cocoa,Garnier Body Superfood Nutri Glow Body Cream Vitamin C Mango,50.0,Wilko,,,Garnier,,GBP,4.99,100.0,main_engine,PRD321459be,Wilko,72.7,Body Butter
2.49,I Love,,GBP,PRDf2b13eb3,57.75,I Love Coconut & Cream Body Butter,I Love Cosmetics Women's English Rose Body Butter,50.0,Wilko,,,I Love,,GBP,7.99,100.0,main_engine,PRDfd3ca522,Amazon.co.uk - Amazon.co.uk-Seller,82.5,Body Butter
2.49,I Love,,GBP,PRDf2b13eb3,63.2,I Love Coconut & Cream Body Butter,I Love Wellness Sleep Body Butter,50.0,Wilko,,,I Love,,GBP,9.99,100.0,main_engine,PRD01f73956,Amazon.co.uk - Amazon.co.uk-Seller,86.0,Body Butter
2.49,I Love,,GBP,PRDf2b13eb3,60.98,I Love Coconut & Cream Body Butter,I Love Cosmetics Vanilla Milk Body Butter,50.0,Wilko,,,I Love,,GBP,9.99,100.0,main_engine,PRD8ce93f8d,Amazon.co.uk - Amazon.co.uk-Seller,88.6,Body Butter
2.49,I Love,,GBP,PRDf2b13eb3,60.98,I Love Coconut & Cream Body Butter,I Love Cosmetics Body Butter Mango & Papaya,50.0,Wilko,,,I Love,,GBP,5.99,100.0,main_engine,PRDa700eca3,Amazon.co.uk - Amazon.co.uk-Seller,84.1,Body Butter
11.99,Tree Hut,,GBP,PRD0ac1e5bb,77.5,Tree Hut Whipped Body Butter Vanilla,Tree Hut Coco Colada Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,11.99,100.0,main_engine,PRD7afe8a16,Boots.com,100.0,Body Butter
11.99,Tree Hut,,GBP,PRD0ac1e5bb,77.5,Tree Hut Whipped Body Butter Vanilla,Tree Hut Tropic Glow Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,11.99,100.0,main_engine,PRD8fe440bd,Boots.com,99.1,Body Butter
11.99,Tree Hut,,GBP,PRD0ac1e5bb,77.5,Tree Hut Whipped Body Butter Vanilla,Tree Hut Moroccan Rose Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,15.99,100.0,main_engine,PRD4a89a3ef,Boots.com,96.9,Body Butter
11.99,,200.0,GBP,PRD0ac1e5bb,54.79,Tree Hut Whipped Body Butter Vanilla,skinnydip london Supermarket Vanilla Body Butter,50.0,Boots.com,,,Tree Hut,g,GBP,8.0,50.0,main_engine,PRD1c771653,Skinnydip,68.7,Body Butter
11.99,Tree Hut,,GBP,PRD0ac1e5bb,93.33,Tree Hut Whipped Body Butter Vanilla,Tree Hut Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,15.99,100.0,main_engine,PRD3e158b60,Holland & Barrett,100.0,Body Butter
11.99,Tree Hut,,GBP,PRD0ac1e5bb,74.72,Tree Hut Whipped Body Butter Vanilla,Tree Hut Tropic Glow Firming Whipped Body Butter,50.0,Boots.com,,,Tree Hut,,GBP,15.99,100.0,main_engine,PRD3b9ce914,Holland & Barrett,96.0,Body Butter
6.56,Treaclemoon Our,,GBP,PRDaadde9dc,100.0,Treaclemoon Our Glorious Body Butters,Treaclemoon Our Glorious Body Butters,50.0,Notino.co.uk,,,Treaclemoon Our,,GBP,9.5,100.0,main_engine,PRDaadde9dc,Boots.com,100.0,Body Butter
4.3,Palmer's Cocoa,,GBP,PRDab6f59b8,88.57,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Body Lotion,50.0,Tesco,,,Palmer's Cocoa,,GBP,6.0,100.0,main_engine,PRD07b14a1b,Tesco,100.0,Body Butter
4.3,Palmer's Cocoa,,GBP,PRDab6f59b8,82.22,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,50.0,Tesco,,,Palmer's Cocoa,,GBP,6.99,100.0,main_engine,PRD30f1d99b,spotofglam.co.uk,98.1,Body Butter
4.3,Palmer's Cocoa,,GBP,PRDab6f59b8,93.33,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Lotion,50.0,Tesco,,,Palmer's Cocoa,,GBP,4.49,100.0,main_engine,PRD8ddeb742,Boots.com,100.0,Body Butter
5.99,,200.0,GBP,PRDad80f5ee,42.95,Soap & Glory Limited Edition Body Butter Cherry Wild,nalas baby Body Butter Duo,100.0,Boots.com,ml,200.0,Soap,ml,GBP,14.0,50.0,main_engine,PRD4452b39d,Boots.com,65.5,Body Butter
5.99,Soap,200.0,GBP,PRDad80f5ee,62.32,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Berry & Bright Body Butter,100.0,Boots.com,ml,200.0,Soap,ml,GBP,6.0,100.0,main_engine,PRD47ea1152,Boots.com,100.0,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,52.16,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Original The Righteous Butter Body Lotion,50.0,Boots.com,ml,200.0,Soap,,GBP,3.66,100.0,main_engine,PRDe4842ed8,eBay,82.5,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,73.64,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Limited Edition Fresh As Fig Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,5.99,100.0,main_engine,PRDa783e838,Boots.com,95.3,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,62.32,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory MAGNIFI-COCO Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,7.49,100.0,main_engine,PRD30a3b49a,Boots.com,86.0,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,59.29,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Call of Fruity Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,7.49,100.0,main_engine,PRD1e2d2b20,Boots.com,87.2,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,61.52,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory The Righteous Butter Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,7.49,100.0,main_engine,PRDd4a6232d,Boots.com,86.5,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,57.13,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap and Glory The Righteous Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,9.99,100.0,main_engine,PRDeff54c48,Boots.com,82.2,Body Butter
5.99,Soap,,GBP,PRDad80f5ee,61.52,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory The Righteous Butter Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,49.85,100.0,main_engine,PRDd4a6232d,eBay - jadashats-us,86.5,Body Butter
5.99,Soap,600.0,GBP,PRDad80f5ee,57.13,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & And Glory The Righteous Body Butter,0.0,Boots.com,ml,200.0,Soap,ml,GBP,20.39,100.0,main_engine,PRDa2063a8c,eBay - zorilus7,72.2,Body Butter
16.0,Sanctuary Spa,,GBP,PRD78142e75,64.55,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa Lily & Rose Body Butter,50.0,Ocado,ml,300.0,Sanctuary Spa,,GBP,13.0,100.0,main_engine,PRD913efd69,Boots.com,86.6,Body Butter
16.0,Sanctuary Spa,,GBP,PRD78142e75,65.32,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa Golden Sandalwood Melting Body Butter,50.0,Ocado,ml,300.0,Sanctuary Spa,,GBP,15.99,100.0,main_engine,PRD9f935292,Superdrug.com,88.7,Body Butter
16.0,Sanctuary Spa,,GBP,PRD78142e75,77.78,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,Sanctuary Spa Body Butter,50.0,Ocado,ml,300.0,Sanctuary Spa,,GBP,13.0,100.0,main_engine,PRDd987acec,Boots.com,93.4,Body Butter
4.5,,200.0,GBP,PRD6514d043,44.56,Skin Saints Body Butter Sweet Flowers,nalas baby Body Butter Duo,100.0,Tesco,ml,200.0,Skin Saints,ml,GBP,14.0,50.0,main_engine,PRD4452b39d,Boots.com,65.8,Body Butter
14.0,Farmona Tutti,200.0,GBP,PRD4452b39d,42.95,nalas baby Body Butter Duo,Farmona Tutti Frutti Nourishing Body Butter Caramel & Cinnamon,100.0,Boots.com,ml,200.0,,ml,GBP,3.6,50.0,main_engine,PRD4625a9ee,Notino.co.uk,65.7,Body Butter
14.0,Burst Bodycare,200.0,GBP,PRD4452b39d,46.61,nalas baby Body Butter Duo,Burst Bodycare Orange Body Butter,100.0,Boots.com,ml,200.0,,ml,GBP,8.0,50.0,main_engine,PRDe20ca495,M&S,70.3,Body Butter
14.0,Bronnley Eclectic,200.0,GBP,PRD4452b39d,45.68,nalas baby Body Butter Duo,Bronnley Eclectic Elements Body Butter,100.0,Boots.com,ml,200.0,,ml,GBP,13.36,50.0,main_engine,PRD09d04044,eBay,65.3,Body Butter
29.0,,,GBP,PRD699dc9c0,70.53,This Works Perfect Legs Body Butter,perfect legs body butter - bundle 2,50.0,ThisWorks.com,,,This Works,,GBP,22.84,50.0,main_engine,PRD859ff753,eu.thisworks.com,72.0,Body Butter
6.0,Soap,,GBP,PRD47ea1152,62.32,Soap & Glory Berry & Bright Body Butter,Soap & Glory Original The Righteous Butter Body Lotion,50.0,Boots.com,ml,200.0,Soap,,GBP,3.66,100.0,main_engine,PRDe4842ed8,eBay,88.3,Body Butter
6.0,Soap,,GBP,PRD47ea1152,60.86,Soap & Glory Berry & Bright Body Butter,Soap & Glory Limited Edition Fresh As Fig Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,5.99,100.0,main_engine,PRDa783e838,Boots.com,85.8,Body Butter
6.0,Soap,,GBP,PRD47ea1152,66.32,Soap & Glory Berry & Bright Body Butter,Soap & Glory MAGNIFI-COCO Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,7.49,100.0,main_engine,PRD30a3b49a,Boots.com,90.6,Body Butter
6.0,Soap,,GBP,PRD47ea1152,64.09,Soap & Glory Berry & Bright Body Butter,Soap & Glory Call of Fruity Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,7.49,100.0,main_engine,PRD1e2d2b20,Boots.com,93.3,Body Butter
6.0,Soap,,GBP,PRD47ea1152,67.32,Soap & Glory Berry & Bright Body Butter,Soap & Glory The Righteous Butter Body Butter,50.0,Boots.com,ml,200.0,Soap,,GBP,7.49,100.0,main_engine,PRDd4a6232d,Boots.com,92.5,Body Butter
