product_1_id,product_2_id,product_1_name,product_2_name,brand,category,size_value,size_unit,retailer_1,retailer_2,price_1,price_2,currency,similarity_name,similarity_category,similarity_avg,match_type,price_diff,price_diff_pct
PRDb46a5a02,PRDb46a5a02,Ancient Wisdom Solid Shampoo Bar,Ancient Wisdom Solid Shampoo Bar,ancient wisdom,shampoo bar,,,my happy moments,simply soaperior,6.85,3.15,GBP,100.0,100.0,100.0,similar,3.7,54.0
PRDfd79310d,PRDfd79310d,Argan Oil Body Butter,Argan Oil Body Butter,argan oil,body butter,250.0,ml,the range,wilko,1.0,1.0,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDa7e1eac5,PRDa7e1eac5,ATTITUDE Detox Shampoo Bar,ATTITUDE Detox Shampoo Bar,attitude detox,shampoo bar,,,biggreensmile.com,amazon.co.uk,7.94,21.88,GBP,100.0,100.0,100.0,similar,13.94,175.6
PRDe128499b,PRDe128499b,Balance Active Formula Brightening Serum,Balance Active Formula Brightening Serum,balance active,face serum,,,wilko,home bargains,3.29,2.99,GBP,100.0,100.0,100.0,perfect,0.3,9.1
PRDdc78a78e,PRDf97f8370,Beauty of Joseon Revive Serum Mucin,Beauty of Joseon Light On Serum,beauty,face serum,,,millies.ie,superdrug.com,16.97,14.39,GBP,75.75757575757575,100.0,87.87878787878788,similar,2.58,15.2
PRDef469070,PRDda45072e,"Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Bar Grass","Cacumen Biotae Isatis Indicotica Shampoo Bar, Usman Shampoo Grass Bar",cacumen biotae,shampoo bar,,,ebay - yusnshushangmao,ebay - fullhouseer,12.28,12.28,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRD5c42e109,PRD5c42e109,Coconut Conditioner Bar,Coconut Conditioner Bar,coconut conditioner,conditioner bar,,,independent design collective,superfly soap,3.0,5.25,GBP,100.0,100.0,100.0,similar,2.25,75.0
PRDd44093d8,PRDd94aeaa8,Conditioner Bar for All Hair Types,Conditioner Bar for Thin Hair,conditioner bar,conditioner bar,,,owl & bee uk,local boom gift shop,9.6,13.0,GBP,82.53968253968253,100.0,91.26984126984127,similar,3.4,35.4
PRDd44093d8,PRD5cc056bd,Conditioner Bar for All Hair Types,Conditioner Bar for Hair Growth,conditioner bar,conditioner bar,,,owl & bee uk,snapklik.com,9.6,22.26,GBP,73.84615384615385,100.0,86.92307692307693,similar,12.66,131.9
PRDd94aeaa8,PRD5cc056bd,Conditioner Bar for Thin Hair,Conditioner Bar for Hair Growth,conditioner bar,conditioner bar,,,local boom gift shop,snapklik.com,13.0,22.26,GBP,80.0,100.0,90.0,similar,9.26,71.2
PRD22c33c78,PRD683e5c3e,Conditioner Bars,Conditioner Bars - Lemon,conditioner bars,conditioner bar,,,anything but plastic,zer0 exeter,10.0,7.95,GBP,84.21052631578947,100.0,92.10526315789474,similar,2.05,20.5
PRD0590e833,PRDbc45741b,Davines Love Shampoo Bar,Davines DEDE Shampoo Bar,davines,shampoo bar,,,cult beauty,davines,18.5,18.5,GBP,87.5,100.0,93.75,similar,0.0,0.0
PRD0590e833,PRDbc45741b,Davines Love Shampoo Bar,Davines DEDE Shampoo Bar,davines,shampoo bar,,,cult beauty,north laine hair company,18.5,18.5,GBP,87.5,100.0,93.75,similar,0.0,0.0
PRDbc45741b,PRDbc45741b,Davines DEDE Shampoo Bar,Davines DEDE Shampoo Bar,davines,shampoo bar,,,davines,north laine hair company,18.5,18.5,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDc39c546e,PRD073ac21d,Eco Warrior Dry Hair Shampoo Bar,Eco Warrior Sensitive Scalp Shampoo Bar,eco warrior,shampoo bar,,,tesco,waitrose & partners,5.5,4.35,GBP,73.23943661971832,100.0,86.61971830985917,similar,1.15,20.9
PRDc39c546e,PRDc0f51385,Eco Warrior Dry Hair Shampoo Bar,Eco Warrior Men's Edit Shampoo Bar,eco warrior,shampoo bar,,,tesco,amazon.co.uk,5.5,5.5,GBP,75.75757575757575,100.0,87.87878787878788,similar,0.0,0.0
PRDc39c546e,PRD3d2887a7,Eco Warrior Dry Hair Shampoo Bar,Eco Warrior Blue Shampoo Bar,eco warrior,shampoo bar,,,tesco,justmylook,5.5,6.5,GBP,80.0,100.0,90.0,similar,1.0,18.2
PRD17d42fdf,PRD073ac21d,Eco Warrior Nourishing Shampoo Bar,Eco Warrior Sensitive Scalp Shampoo Bar,eco warrior,shampoo bar,,,tesco,waitrose & partners,5.5,4.35,GBP,73.97260273972603,100.0,86.98630136986301,similar,1.15,20.9
PRD17d42fdf,PRDc0f51385,Eco Warrior Nourishing Shampoo Bar,Eco Warrior Men's Edit Shampoo Bar,eco warrior,shampoo bar,,,tesco,amazon.co.uk,5.5,5.5,GBP,76.47058823529412,100.0,88.23529411764706,similar,0.0,0.0
PRD17d42fdf,PRD3d2887a7,Eco Warrior Nourishing Shampoo Bar,Eco Warrior Blue Shampoo Bar,eco warrior,shampoo bar,,,tesco,justmylook,5.5,6.5,GBP,74.19354838709677,100.0,87.09677419354838,similar,1.0,18.2
PRD073ac21d,PRDc0f51385,Eco Warrior Sensitive Scalp Shampoo Bar,Eco Warrior Men's Edit Shampoo Bar,eco warrior,shampoo bar,,,waitrose & partners,amazon.co.uk,4.35,5.5,GBP,76.71232876712328,100.0,88.35616438356163,similar,1.15,26.4
PRDc0f51385,PRD3d2887a7,Eco Warrior Men's Edit Shampoo Bar,Eco Warrior Blue Shampoo Bar,eco warrior,shampoo bar,,,amazon.co.uk,justmylook,5.5,6.5,GBP,74.19354838709677,100.0,87.09677419354838,similar,1.0,18.2
PRDff2e9b24,PRDc18dacd6,Ethique Wonderbar Conditioner Bar for Oily-Normal Hair-Mini,Ethique Wonderbar Conditioner Bar For Oily to Normal Hair,ethique wonderbar,conditioner bar,,,new zealand nature - uk,amazon.co.uk - amazon.co.uk-seller,3.5,12.99,GBP,93.10344827586206,100.0,96.55172413793103,similar,9.49,271.1
PRDe42b3890,PRDc40d85f0,Faith in Nature - Shampoo Bar Lavender & Geranium,Faith In Nature Shampoo Bar Lavender & Geranium 85gm,faith in nature,shampoo bar,85.0,g,holland & barrett,ebay - gudz_uk,7.0,46.32,GBP,94.73684210526316,100.0,97.36842105263159,similar,39.32,561.7
PRD1e850c4f,PRD1e850c4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature Coconut & Shea Butter Shampoo Bar,faith in nature,shampoo bar,,,holland & barrett,amazon.co.uk,7.0,4.5,GBP,100.0,100.0,100.0,similar,2.5,35.7
PRD1e850c4f,PRDc2643e4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature Shea & Argan Shampoo Bar,faith in nature,shampoo bar,,,holland & barrett,natural collection,7.0,5.25,GBP,80.0,100.0,90.0,similar,1.75,25.0
PRD1e850c4f,PRDc2643e4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature Shea & Argan Shampoo Bar,faith in nature,shampoo bar,,,amazon.co.uk,natural collection,4.5,5.25,GBP,80.0,100.0,90.0,similar,0.75,16.7
PRD214bc95b,PRD6572e1b1,Friendly Soap Lavender & Geranium Shampoo Bar,Friendly Soap - Lavender & Tea Tree Shampoo Bar - Eco Friendly,friendly soap,shampoo bar,,,hell yeah,indespoke,3.25,2.95,GBP,74.74747474747474,100.0,87.37373737373737,similar,0.3,9.2
PRD6572e1b1,PRDc26d29e5,Friendly Soap - Lavender & Tea Tree Shampoo Bar - Eco Friendly,Soapy Scraps Shampoo Bar - Lavender & Tea Tree | Friendly Soap,friendly soap,shampoo bar,,,indespoke,friendly soap,2.95,10.99,GBP,76.78571428571428,100.0,88.39285714285714,similar,8.04,272.5
PRDcdd158d6,PRDcdd158d6,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Conditioner Bar Lavender & Geranium,friendly soap,conditioner bar,,,friendly soap,amazon.co.uk - amazon.co.uk-seller,8.99,9.99,GBP,100.0,100.0,100.0,perfect,1.0,11.1
PRDcdd158d6,PRD392d044d,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Lavender Tea Tree Conditioner Bar,friendly soap,conditioner bar,,,friendly soap,amazon.co.uk - amazon.co.uk-seller,8.99,9.62,GBP,80.85106382978724,100.0,90.42553191489361,similar,0.63,7.0
PRDcdd158d6,PRD9e61c9a7,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Lavender & Geranium Conditioner Bar,friendly soap,conditioner bar,,,friendly soap,c & g natural beauty shop,8.99,8.99,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDcdd158d6,PRD9e61c9a7,Friendly Soap Conditioner Bar Lavender & Geranium,Friendly Soap Lavender & Geranium Conditioner Bar,friendly soap,conditioner bar,,,amazon.co.uk - amazon.co.uk-seller,c & g natural beauty shop,9.99,8.99,GBP,100.0,100.0,100.0,perfect,1.0,10.0
PRD392d044d,PRD9e61c9a7,Friendly Soap Lavender Tea Tree Conditioner Bar,Friendly Soap Lavender & Geranium Conditioner Bar,friendly soap,conditioner bar,,,amazon.co.uk - amazon.co.uk-seller,c & g natural beauty shop,9.62,8.99,GBP,80.85106382978724,100.0,90.42553191489361,similar,0.63,6.5
PRDc5fa35a7,PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,garnier,shampoo bar,,,tesco,boots.com,4.0,4.0,GBP,100.0,100.0,100.0,perfect,0.0,0.0
PRDc5fa35a7,PRD83f84d5b,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,garnier,shampoo bar,,,boots.com,tesco,4.0,4.0,GBP,73.17073170731707,100.0,86.58536585365854,similar,0.0,0.0
PRD83f84d5b,PRD3ac1f6ed,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,Garnier Ultimate Blends Argan & Camellia Shampoo Bar,garnier,shampoo bar,,,tesco,amazon.co.uk - amazon.co.uk-seller,4.0,4.47,GBP,74.07407407407408,100.0,87.03703703703704,similar,0.47,11.8
PRDc8e73bf0,PRDe4a75ca8,Hairy Jayne Musk Conditioner Bar,Hairy Jayne Solid Conditioner Bar,hairy jayne,conditioner bar,,,hairy jayne,zero store,8.0,9.0,GBP,89.23076923076923,100.0,94.61538461538461,similar,1.0,12.5
PRD543307a2,PRDa15a678b,J.R. Liggett's Tea Tree & Hemp Oil Shampoo Bar,J.R. Liggett's Herbal Shampoo Bar,j r liggett s,shampoo bar,,,john and ginger,biggreensmile.com,9.0,10.3,GBP,74.66666666666666,100.0,87.33333333333333,similar,1.3,14.4
