product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,lexical_similarity,brand_similarity,size_similarity,match_source
PRD92c4d6da,PRD2a0760ad,Coconut & Mint Body Butter,Coconut Whipped Body Butter,Coconut,Coconut Whipped,Body Butter,,,,,4.99,28.0,GBP,GBP,TK Maxx,Ecco-Verde.co.uk,62.0,77.02,0.0,50.0,post_processing
PRD651089c5,PRD6d6aa7db,Ola Loko Nourishing Whipped Body Butter,Whipped Body Butter,Ola Loko,Whipped Body,Body Butter,,,,,4.49,23.47,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,eBay,65.0,80.0,0.0,50.0,post_processing
PRD3ddd785c,PRD5b9cf2b9,Tarte Whipped Body Butter Cake Butter,Body Whipped Butter . Jar Birthday Cake,Tarte Whipped,Body Whipped,Body Butter,,,6.0,oz,14.0,8.91,GBP,GBP,tarte cosmetics,eBay,61.2,76.19,0.0,50.0,post_processing
PRD3ddd785c,PRD6d6aa7db,Tarte Whipped Body Butter Cake Butter,Whipped Body Butter,Tarte Whipped,Whipped Body,Body Butter,,,,,14.0,23.47,GBP,GBP,tarte cosmetics,eBay,69.0,84.0,0.0,50.0,post_processing
PRD304f4e69,PRD6d6aa7db,Tropical Glow Whipped Body Butter,Whipped Body Butter,Tropical Glow,Whipped Body,Body Butter,,,,,10.99,23.47,GBP,GBP,Soul and Soap,eBay,69.0,84.0,0.0,50.0,post_processing
PRD29e7b39d,PRD17be8583,So Sona Skincare Whipped Body Butters,"Whipped Body Butters by So Sona Skincare - Made for Dry/Sensitive Skin, Vegan-Friendly",So Sona,Whipped Body,Body Butter,,,,,59.99,59.99,GBP,GBP,So Sona Skincare,So Sona Skincare,62.1,77.14,0.0,50.0,post_processing
PRD348f8e77,PRD6d6aa7db,Honey Almond Whipped Body Butter,Whipped Body Butter,Honey Almond,Whipped Body,Body Butter,,,,,26.6,23.47,GBP,GBP,Ecco-Verde.co.uk,eBay,69.0,84.0,0.0,50.0,post_processing
PRD9c4ff6bc,PRD707ba230,Body Butter Moisturiser,Little Organic Company Whipped Shea Body Butter Moisturiser,Body Butter,Little Organic,Body Butter,,,,,4.0,17.99,GBP,GBP,Superdrug.com,Amazon.co.uk - Amazon.co.uk-Seller,60.0,75.0,0.0,50.0,post_processing
PRD7158cfb1,PRDc495723b,American Dream Cocoa Butter Body Cream,American Touch Cocoa Butter Body Cream,American Dream,American Touch,Body Butter,,,,,6.49,6.79,GBP,GBP,Afro Pride,Amazon.co.uk - Amazon.co.uk-Seller,68.4,83.43,0.0,50.0,post_processing
PRDb606f350,PRD6d6aa7db,Shea Sea Buckthorn Whipped Body Butter,Whipped Body Butter,Shea Sea,Whipped Body,Body Butter,,,,,4.0,23.47,GBP,GBP,m'ṣará botanicals,eBay,65.0,80.0,0.0,50.0,post_processing
