product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRD01f73956,PRD8ce93f8d,I Love Wellness Sleep Body Butter,I Love Cosmetics Vanilla Milk Body Butter,I Love,I Love,Body Butter,,,,,9.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,80.1,60.13,100.0,50.0
PRD01f73956,PRDa700eca3,I Love Wellness Sleep Body Butter,I Love Cosmetics Body Butter Mango & Papaya,I Love,I Love,Body Butter,,,,,9.99,5.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,80.1,60.13,100.0,50.0
PRD01f73956,PRDf2b13eb3,I Love Wellness Sleep Body Butter,I Love Coconut & Cream Body Butter,I Love,I Love,Body Butter,,,,,9.99,2.49,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Wilko,83.2,63.2,100.0,50.0
PRD01f73956,PRDfd3ca522,I Love Wellness Sleep Body Butter,I Love Cosmetics Women's English Rose Body Butter,I Love,I Love,Body Butter,,,,,9.99,7.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,76.9,56.9,100.0,50.0
PRD059c4d75,PRD1c771653,Aromatic Body Butter Vanilla,skinnydip london Supermarket Vanilla Body Butter,Aromatic Body,,Body Butter,,,200.0,g,22.98,8.0,GBP,GBP,israel catalog,Skinnydip,75.7,65.65,50.0,50.0
PRD07b14a1b,PRD30f1d99b,Palmer's Cocoa Butter Formula Body Lotion,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,6.0,6.99,GBP,GBP,Tesco,spotofglam.co.uk,87.9,67.9,100.0,50.0
PRD1c771653,PRD29a43bf0,skinnydip london Supermarket Vanilla Body Butter,"Plum Bodylovin' Body Butter, Vanilla Vibes For All Skin Types",,Plum Bodylovin',Body Butter,200.0,g,200.0,g,8.0,21.16,GBP,GBP,Skinnydip,eBay - livingessentials_23,77.4,47.36,50.0,100.0
PRD1c771653,PRDe51784bf,skinnydip london Supermarket Vanilla Body Butter,Cocoa & Vanilla Body Butter,,Cocoa,Body Butter,200.0,g,,,8.0,15.99,GBP,GBP,Skinnydip,Amazon.co.uk - Amazon.co.uk-Seller,79.0,68.96,50.0,50.0
PRD1e2d2b20,PRD30a3b49a,Soap & Glory Call of Fruity Body Butter,Soap & Glory MAGNIFI-COCO Body Butter,Soap,Soap,Body Butter,,,,,7.49,7.49,GBP,GBP,Boots.com,Boots.com,84.1,64.09,100.0,50.0
PRD1e2d2b20,PRD47ea1152,Soap & Glory Call of Fruity Body Butter,Soap & Glory Berry & Bright Body Butter,Soap,Soap,Body Butter,,,200.0,ml,7.49,6.0,GBP,GBP,Boots.com,Boots.com,84.1,64.09,100.0,50.0
PRD1e2d2b20,PRDa2063a8c,Soap & Glory Call of Fruity Body Butter,Soap & And Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,600.0,ml,7.49,20.39,GBP,GBP,Boots.com,eBay - zorilus7,81.2,61.19,100.0,50.0
PRD1e2d2b20,PRDa783e838,Soap & Glory Call of Fruity Body Butter,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap,Soap,Body Butter,,,,,7.49,5.99,GBP,GBP,Boots.com,Boots.com,78.1,58.08,100.0,50.0
