product_id,product_name,brand_id,brand_name,category_id,category_name,size_value,size_unit,price,currency,date_collected,retailer_name,product_clean,brand_clean,category_clean,retailer_clean,reason_unmatched
PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,BRDec140568,Little Soap Company,CAT4f1e3d60,Shampoo Bar,,,4.15,GBP,20251108_120316,Amazon.co.uk,little soap company eco warrior deeply nourishing shampoo bar,little soap company,shampoo bar,amazon co uk,No match >= 70
PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,BRD162d58fc,Garnier,CAT4f1e3d60,Shampoo Bar,,,4.0,GBP,20251108_120316,Boots.com,garnier ultimate blends honey treasures strengthening shampoo bar,garnier,shampoo bar,boots com,No match >= 70
PRD206c4781,the earthling co. Moisturizing Shampoo Bar,,,CAT4f1e3d60,Shampoo Bar,,,9.5,GBP,20251108_120316,The Earthling Co.,the earthling co moisturizing shampoo bar,,shampoo bar,the earthling co ,No match >= 70
PRD0f0d0418,Kitsch Shampoo Bar Rice Water Protein,BRD84858b44,Kitsch,CAT4f1e3d60,Shampoo Bar,,,8.39,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,kitsch shampoo bar rice water protein,kitsch,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD83f84d5b,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,BRD162d58fc,Garnier,CAT4f1e3d60,Shampoo Bar,,,4.0,GBP,20251108_120316,Tesco,garnier ultimate blends delicate oat softening shampoo bar,garnier,shampoo bar,tesco,No match >= 70
PRDe86336bb,Garnier Ultimate Blends Coconut Hydrating Shampoo Bar with Aloe Vera for Normal Hair,BRD162d58fc,Garnier,CAT4f1e3d60,Shampoo Bar,60.0,g,4.0,GBP,20251108_120316,Boots.com,garnier ultimate blends coconut hydrating shampoo bar with aloe vera for normal hair,garnier,shampoo bar,boots com,No match >= 70
PRDcbfb5f45,Alberto Balsam Sunkissed Raspberry Shampoo Bar,BRDc686bb67,Alberto Balsam,CAT4f1e3d60,Shampoo Bar,,,1.09,GBP,20251108_120316,VitaPoint,alberto balsam sunkissed raspberry shampoo bar,alberto balsam,shampoo bar,vitapoint,No match >= 70
PRD71523043,"Nature Triangle Shampoo Bar, Natural Cypress Leaf Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair Vegan, for Hair Care for Women and Mens (",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,5.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar natural cypress leaf usman grass solid shampoo bar calming strengthens hair vegan for hair care for women and mens ,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRDc39c546e,Eco Warrior Dry Hair Shampoo Bar,BRDf76fce2c,Eco Warrior,CAT4f1e3d60,Shampoo Bar,,,5.5,GBP,20251108_120316,Tesco,eco warrior dry hair shampoo bar,eco warrior,shampoo bar,tesco,No match >= 70
PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,BRD162d58fc,Garnier,CAT4f1e3d60,Shampoo Bar,,,4.0,GBP,20251108_120316,Tesco,garnier ultimate blends honey treasures strengthening shampoo bar,garnier,shampoo bar,tesco,No match >= 70
PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,BRD29cd4600,Faith in Nature,CAT4f1e3d60,Shampoo Bar,85.0,g,7.0,GBP,20251108_120316,Holland & Barrett,faith in nature shampoo bar lavender geranium,faith in nature,shampoo bar,holland barrett,No match >= 70
PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,BRDec140568,Little Soap Company,CAT4f1e3d60,Shampoo Bar,,,5.8,GBP,20251108_120316,Waitrose & Partners,little soap company eco warrior deeply nourishing shampoo bar,little soap company,shampoo bar,waitrose partners,No match >= 70
PRD3ac1f6ed,Garnier Ultimate Blends Argan & Camellia Shampoo Bar,BRD162d58fc,Garnier,CAT4f1e3d60,Shampoo Bar,,,4.47,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,garnier ultimate blends argan camellia shampoo bar,garnier,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRDf1e29bae,The Highland Soap Co. Seaweed Shampoo Bar,BRD2cd68e6f,The Highland,CAT4f1e3d60,Shampoo Bar,,,7.75,GBP,20251108_120316,The Highland Soap Company,the highland soap co seaweed shampoo bar,the highland,shampoo bar,the highland soap company,No match >= 70
PRD39a03679,ethique Shampoo Bar for Fine,,,CAT4f1e3d60,Shampoo Bar,,,3.0,GBP,20251108_120316,Ethique GB,ethique shampoo bar for fine,,shampoo bar,ethique gb,No match >= 70
PRD17d42fdf,Eco Warrior Nourishing Shampoo Bar,BRDf76fce2c,Eco Warrior,CAT4f1e3d60,Shampoo Bar,,,5.5,GBP,20251108_120316,Tesco,eco warrior nourishing shampoo bar,eco warrior,shampoo bar,tesco,No match >= 70
PRD5cbb3d08,Handmade Solid Shampoo Bar,BRD4e7e12ed,Handmade Solid,CAT4f1e3d60,Shampoo Bar,,,4.49,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,handmade solid shampoo bar,handmade solid,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD214bc95b,Friendly Soap Lavender & Geranium Shampoo Bar,BRD6003a530,Friendly Soap,CAT4f1e3d60,Shampoo Bar,,,3.25,GBP,20251108_120316,Hell Yeah,friendly soap lavender geranium shampoo bar,friendly soap,shampoo bar,hell yeah,No match >= 70
PRDbf7d8f07,"Nature Triangle Shampoo Bar, Usman Grass Shampoo Bar, Nature Seven Green Soap Shampoos Bars, Nourishing Care for Healthy-Looking Hair ()",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,1.0,pcs,9.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar usman grass shampoo bar nature seven green soap shampoos bars nourishing care for healthy looking hair ,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD073ac21d,Eco Warrior Sensitive Scalp Shampoo Bar,BRDf76fce2c,Eco Warrior,CAT4f1e3d60,Shampoo Bar,,,4.35,GBP,20251108_120316,Waitrose & Partners,eco warrior sensitive scalp shampoo bar,eco warrior,shampoo bar,waitrose partners,No match >= 70
PRD971ea558,OGX Coconut Milk Shampoo Bar,BRD3fc86590,OGX Coconut,CAT4f1e3d60,Shampoo Bar,,,7.49,GBP,20251108_120316,Amazon.co.uk,ogx coconut milk shampoo bar,ogx coconut,shampoo bar,amazon co uk,No match >= 70
PRDbb09309a,Folk Soap Shampoo Bar,BRD3922bcfe,Folk Soap,CAT4f1e3d60,Shampoo Bar,,,6.95,GBP,20251108_120316,Folk Soap,folk soap shampoo bar,folk soap,shampoo bar,folk soap,No match >= 70
PRD223495c4,"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Usman Grass ShampooBar, Natural Plant Ingredients, Calming & Strengthens Hair for Women",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,9.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar nature seven green soap shampoo usman grass shampoobar natural plant ingredients calming strengthens hair for women,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD1800de9b,Mint & Tea Tree Shampoo Bar,BRDca8a196f,Mint,CAT4f1e3d60,Shampoo Bar,,,8.5,GBP,20251108_120316,Bare Bar,mint tea tree shampoo bar,mint,shampoo bar,bare bar,No match >= 70
PRDbfb66f63,"Nature Triangle Shampoo Bar, Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar,Thinning Hair-Volume Shampoo Bar for Men and Women,Hair Growth",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,6.95,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar natural usman grass glutinous rice water solid shampoo bar thinning hair volume shampoo bar for men and women hair growth,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRDf3e97cb3,Bleach London Rose Shampoo Bar,BRDc09ecb02,Bleach London,CAT4f1e3d60,Shampoo Bar,,,9.0,GBP,20251108_120316,Boots.com,bleach london rose shampoo bar,bleach london,shampoo bar,boots com,No match >= 70
PRDdd85df46,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,6.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar nature seven green soap shampoo seven green shampoo bar usman grass shampoo bar polygonum shampoo soap calming ,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD1abbc9e5,Only Curls Curl Cleansing Shampoo Bar,BRD0aa3e2c2,Only Curls,CAT4f1e3d60,Shampoo Bar,,,12.0,GBP,20251108_120316,Only Curls,only curls curl cleansing shampoo bar,only curls,shampoo bar,only curls,No match >= 70
PRD64e43e15,"Nature Triangle Shampoo Bar - Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar For Hair Care & Hair Growth, Calming & Strengthens Hairs For",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,5.55,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar natural usman grass glutinous rice water solid shampoo bar for hair care hair growth calming strengthens hairs for,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD0590e833,Davines Love Shampoo Bar,BRD17c01d32,Davines,CAT4f1e3d60,Shampoo Bar,,,18.5,GBP,20251108_120316,Cult Beauty,davines love shampoo bar,davines,shampoo bar,cult beauty,No match >= 70
PRD4633f3ef,"Nature Triangle Shampoo Bar, Usman Grass & Nature Seven Green Soap Solid Shampoo, Gentle Hair Cleansing & Strengthening for Women and Men (1)",BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,9.98,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar usman grass nature seven green soap solid shampoo gentle hair cleansing strengthening for women and men 1 ,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD5c946edc,Amphora Twilight Shampoo Bar,BRD6685437a,Amphora Twilight,CAT4f1e3d60,Shampoo Bar,,,5.95,GBP,20251108_120316,Amphora Aromatics,amphora twilight shampoo bar,amphora twilight,shampoo bar,amphora aromatics,No match >= 70
PRD9f09222c,Nature Triangle Usman Grass Shampoo Bar,BRDc360e6fd,Nature Triangle,CAT4f1e3d60,Shampoo Bar,,,9.97,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle usman grass shampoo bar,nature triangle,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD72f1df5a,Tropical Mango Solid Shampoo Bar,BRDd3216cda,Tropical Mango,CAT4f1e3d60,Shampoo Bar,,,7.99,GBP,20251108_120316,Soul and Soap,tropical mango solid shampoo bar,tropical mango,shampoo bar,soul and soap,No match >= 70
PRD7314954f,OnBuy Mini Solid Shampoo Bar Variety Pack,BRD0ed254f3,OnBuy Mini,CAT4f1e3d60,Shampoo Bar,,,11.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,onbuy mini solid shampoo bar variety pack,onbuy mini,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRDaa501f7b,The Little Goat Soap Company Goats Milk and Neem Oil Shampoo Bar,BRDa8d1ddf7,The Little,CAT4f1e3d60,Shampoo Bar,,,4.95,GBP,20251108_120316,The Little Goat Soap Company,the little goat soap company goats milk and neem oil shampoo bar,the little,shampoo bar,the little goat soap company,No match >= 70
PRD3873f52e,Garnier Ultimate Blends Shampoo Bar Ginger Recovery,BRD162d58fc,Garnier,CAT4f1e3d60,Shampoo Bar,60.0,g,5.25,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,garnier ultimate blends shampoo bar ginger recovery,garnier,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD5cb13c22,Scottish Fine Soaps Vetiver & Sandalwood Shampoo Bar Wrapped,BRDd7296ac2,Scottish Fine,CAT4f1e3d60,Shampoo Bar,100.0,g,6.99,GBP,20251108_120316,The Scottish Fine Soaps Company,scottish fine soaps vetiver sandalwood shampoo bar wrapped,scottish fine,shampoo bar,the scottish fine soaps company,No match >= 70
PRD59ef5692,J.R.Liggett's Original Shampoo Bar,BRD8d2bed0b,J.R.Liggett's Original,CAT4f1e3d60,Shampoo Bar,,,7.99,GBP,20251108_120316,Dolphin Fitness,j r liggett s original shampoo bar,j r liggett s original,shampoo bar,dolphin fitness,No match >= 70
PRD2da155c7,"Nature Usman's Thuja Leaf Shampoo Bar, Nature Triangle Shampoo Bar, Green Soap Triangle Bar, Calming & Strengthens for Women And Men Haircare Products",BRD29659e87,Nature Usman's,CAT4f1e3d60,Shampoo Bar,,,13.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,nature usman s thuja leaf shampoo bar nature triangle shampoo bar green soap triangle bar calming strengthens for women and men haircare products,nature usman s,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD1b84c93f,Beauty Kitchen Rosemary Mint Shampoo Bar,BRD464aaf4d,Beauty Kitchen,CAT4f1e3d60,Shampoo Bar,,,10.0,GBP,20251108_120316,Beauty Kitchen,beauty kitchen rosemary mint shampoo bar,beauty kitchen,shampoo bar,beauty kitchen,No match >= 70
PRDe0b70b3d,Yorkshire Goddess Shampoo Bar,BRD62532888,Yorkshire Goddess,CAT4f1e3d60,Shampoo Bar,,,3.5,GBP,20251108_120340,Sheffield Skincare Company,yorkshire goddess shampoo bar,yorkshire goddess,shampoo bar,sheffield skincare company,No match >= 70
PRD51a7ca60,Clarins Nourishing Shampoo Bar,BRDc83c948f,Clarins Nourishing,CAT4f1e3d60,Shampoo Bar,,,16.0,GBP,20251108_120340,Clarins UK,clarins nourishing shampoo bar,clarins nourishing,shampoo bar,clarins uk,No match >= 70
PRD2bb4cb12,FOAmie Aloe Vera Shampoo Bar,BRDf129f64e,FOAmie Aloe,CAT4f1e3d60,Shampoo Bar,,,5.99,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,foamie aloe vera shampoo bar,foamie aloe,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD9ed1bd83,Intense Moisture Shampoo Bar grüum Dry & Heat Damaged,BRDaaa615e0,Intense Moisture,CAT4f1e3d60,Shampoo Bar,,,12.0,GBP,20251108_120340,grüum,intense moisture shampoo bar gr um dry heat damaged,intense moisture,shampoo bar,gr um,No match >= 70
PRD465c7bde,Wideye Green Tea & Eucalyptus Natural Shampoo Bar,BRDef981f03,Wideye Green,CAT4f1e3d60,Shampoo Bar,,,8.95,GBP,20251108_120340,wideye.co.uk,wideye green tea eucalyptus natural shampoo bar,wideye green,shampoo bar,wideye co uk,No match >= 70
PRD4ebccb85,Natural Triangle Usman Grass Shampoo Bar,,,CAT4f1e3d60,Shampoo Bar,2.0,pcs,6.89,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,natural triangle usman grass shampoo bar,,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD645c018b,Old Guys Rule 'Coconut Oil' Shampoo Bar,BRD59cd474c,Old Guys,CAT4f1e3d60,Shampoo Bar,,,4.95,GBP,20251108_120340,Old Guys Rule,old guys rule coconut oil shampoo bar,old guys,shampoo bar,old guys rule,No match >= 70
PRD075efe0b,Naked Soap Free Hair Shampoo Bars,BRD8301ac0d,Naked Soap,CAT4f1e3d60,Shampoo Bar,,,7.0,GBP,20251108_120340,Superfly Soap,naked soap free hair shampoo bars,naked soap,shampoo bar,superfly soap,No match >= 70
PRD48321c1e,Head and Shoulders Anti Dandruff Shampoo Bar With Citrus,BRD98921133,Head,CAT4f1e3d60,Shampoo Bar,70.0,g,6.65,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,head and shoulders anti dandruff shampoo bar with citrus,head,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRD0f733f9f,Arista Shampoo Bar Anti-dandruff,BRD27ab859d,Arista Shampoo,CAT4f1e3d60,Shampoo Bar,80.0,g,6.89,GBP,20251108_120340,Fairhaven Wholefoods,arista shampoo bar anti dandruff,arista shampoo,shampoo bar,fairhaven wholefoods,No match >= 70
PRD894e87a6,Classy Camomille* Shampoo Bar,BRDe4130bc1,Classy Camomille*,CAT4f1e3d60,Shampoo Bar,,,7.74,GBP,20251108_120340,Myssyfarmi,classy camomille shampoo bar,classy camomille ,shampoo bar,myssyfarmi,No match >= 70
PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,BRDf76fce2c,Eco Warrior,CAT4f1e3d60,Shampoo Bar,,,5.5,GBP,20251108_120340,Amazon.co.uk,eco warrior men s edit shampoo bar,eco warrior,shampoo bar,amazon co uk,No match >= 70
PRD4e993f13,Citrus Burst Solid Shampoo Bar,BRDa3a87320,Citrus Burst,CAT4f1e3d60,Shampoo Bar,,,7.0,GBP,20251108_120340,Marigold Charms,citrus burst solid shampoo bar,citrus burst,shampoo bar,marigold charms,No match >= 70
