product_1_id,product_2_id,product_1_name,product_2_name,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity
PRDd75d3f6a,PRDcac1ed2c,"Shampoo Bar Castor Oil, Castors Oils Conditioner Bar, Solid Bars Shampoo for Hydration, Strengthening and Moisturizing, Organic Castors Oils for","Shampoo Bar Castor Oil, Castors Oils Conditioner Bar, Solid Bars Shampoo for Hydration, Strengthening and Moisturizing, Organic Castors Oils for",5.69,5.69,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,100.0
PRD177034ff,PRD3e158b60,Tree Hut Tropic Glow Whipped Shea Body Butter,Tree Hut Whipped Body Butter,15.99,15.99,GBP,GBP,holland & barrett,holland & barrett,100.0
PRD6ac91761,PRDe408fb7b,Coconut Curls Conditioning Shampoo Bar,Coconut Curls Conditioning Shampoo Bar Trial Size,5.49,5.49,GBP,GBP,bloom in soap,bloom in soap,100.0
PRDb5b5c690,PRDd4987f16,Folk Soap Conditioner Bar,Folk Soap Solid Conditioner Bar,7.0,7.0,GBP,GBP,folk soap,folk soap,100.0
PRDfc3ffa8f,PRDeaaa054c,Herbal Shampoo Bar For Hair Loss | Controls Shedding | Dandruff &,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff &,11.64,11.64,GBP,GBP,ebay - adeliaren,ebay - hupinger,100.0
PRD61bdf989,PRDeaaa054c,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff | &,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff &,11.64,11.64,GBP,GBP,ebay - greensummer,ebay - hupinger,100.0
PRD61bdf989,PRDfc3ffa8f,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff | &,Herbal Shampoo Bar For Hair Loss | Controls Shedding | Dandruff &,11.64,11.64,GBP,GBP,ebay - greensummer,ebay - adeliaren,100.0
PRD548e30a0,PRD6a6a6076,Kitsch Rice Water Shampoo & Conditioner Set,Kitsch Rice Water Shampoo & Conditioner Set,21.75,21.75,GBP,GBP,kitsch,kitsch,100.0
PRD986bcd32,PRD3e158b60,Tree Hut Vanilla Whipped Body Butter,Tree Hut Whipped Body Butter,15.99,15.99,GBP,GBP,boots.com,holland & barrett,100.0
PRD924c1d5c,PRDf0cdad04,Saltair Multi- Lipid Body Butter Salt Water Vanilla,Saltair Multi- Lipid Body Butter,23.0,23.0,GBP,GBP,space nk,space nk,100.0
PRD2fedfae2,PRD4b06da80,ANIHANA Shampoo and Conditioner Bar,ANIHANA Shampoo and Conditioner Bar,7.81,7.81,GBP,GBP,ebay - uceverything,ebay - uceverything,100.0
PRD911246d1,PRD6f65277d,Hair Blocks Solid Shampoo Bar,Hair Blocks Solid Shampoo Bar Mint & Grapefruit,9.0,8.99,GBP,GBP,amazon.co.uk,regn,99.99
PRDc2aad00e,PRD9418e906,Susanne Kaufmann Body Butter,Susanne Kaufmann Body Butter For The Senses,60.0,60.05,GBP,GBP,susanne kaufmann,nose,99.99
PRDc5fa35a7,PRD9d7c5141,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier Honey Shampoo Bar,4.0,3.99,GBP,GBP,boots.com,la image,99.97
PRD88a8908b,PRDeaaa054c,Herbal Shampoo Bar For Hair Loss | Controls Shedding & Dandruff,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff &,11.73,11.64,GBP,GBP,ebay - lollipopzuhe,ebay - hupinger,99.92
