price_id,product_id,retailer_id,price,discount,currency,date_collected
PRC00000001,PRD0f0d0418,RETa0fa6f9c,8.39,,GBP,20251104_163814
PRC00000002,PRDcbfb5f45,RETa0fa6f9c,5.15,,GBP,20251104_163814
PRC00000003,PRD59ef5692,RET2dc18368,7.99,,GBP,20251104_163814
PRC00000004,PRD459b7e1a,RET0ad38a55,4.15,,GBP,20251104_163814
PRC00000005,PRDe86336bb,RETd0241f94,4.0,,GBP,20251104_163814
PRC00000006,PRDc5fa35a7,RET100de238,4.0,,GBP,20251104_163814
PRC00000007,PRD51a0f366,RET0ad38a55,4.99,,GBP,20251104_163814
PRC00000008,PRD529140f6,RET6003a530,3.25,,GBP,20251104_163814
PRC00000009,PRD41cac8eb,RET0ad38a55,4.99,,GBP,20251104_163814
PRC00000010,PRD83f84d5b,RET100de238,4.0,,GBP,20251104_163814
PRC00000011,PRD3282f2d7,RET0ad38a55,4.99,,GBP,20251104_163814
PRC00000012,PRD1abbc9e5,RET0aa3e2c2,12.0,,GBP,20251104_163814
PRC00000013,PRDc3c3e186,RETcce16833,2.99,,GBP,20251104_163814
PRC00000014,PRD25b9b6cb,RETa0fa6f9c,4.84,,GBP,20251104_163814
PRC00000015,PRDbc45741b,RET8ce345ae,18.5,,GBP,20251104_163814
PRC00000016,PRD473833e3,RET0ad38a55,7.49,,GBP,20251104_163814
PRC00000017,PRDc3c3e186,RETcce16833,2.99,,GBP,20251104_163814
PRC00000018,PRDce1c9d0c,RET0ad38a55,11.55,,GBP,20251104_163814
PRC00000019,PRD214bc95b,RET6003a530,3.25,,GBP,20251104_163814
PRC00000020,PRD3282f2d7,RET0ad38a55,4.99,,GBP,20251104_163814
PRC00000021,PRD1866ff06,RET2dc18368,6.45,,GBP,20251104_163814
PRC00000022,PRD27fa7692,RETa0fa6f9c,8.44,,GBP,20251104_163814
PRC00000023,PRD1e850c4f,RET6c06f88c,7.0,,GBP,20251104_163814
PRC00000024,PRD3ac1f6ed,RETa0fa6f9c,4.47,,GBP,20251104_163814
PRC00000025,PRD96cf2dcc,RET6003a530,3.25,,GBP,20251104_163814
PRC00000026,PRDc39c546e,RET100de238,5.5,,GBP,20251104_163814
PRC00000027,PRD9b79b834,RETa0fa6f9c,19.99,,GBP,20251104_163814
PRC00000028,PRD5cb13c22,RETd727216d,6.99,,GBP,20251104_163814
PRC00000029,PRD9355c2f3,RETa0fa6f9c,8.79,,GBP,20251104_163814
PRC00000030,PRDf22ab983,RET46100c4f,2.8,,GBP,20251104_163814
PRC00000031,PRD12275e6b,RET6ac55fa5,18.5,,GBP,20251104_163814
PRC00000032,PRDf9bcb5b6,RETa0fa6f9c,4.73,,GBP,20251104_163814
PRC00000033,PRD6c1d66f0,RETa2b176ea,5.99,,GBP,20251104_163814
PRC00000034,PRD2b7ad7f5,RET20c40eed,11.87,,GBP,20251104_163814
PRC00000035,PRDd39ffea1,RETa0fa6f9c,6.29,,GBP,20251104_163814
PRC00000036,PRD1bd7a9e5,RET0f11defc,8.5,,GBP,20251104_163814
PRC00000037,PRDe42b3890,RET6c06f88c,7.0,,GBP,20251104_163814
PRC00000038,PRDa3642a49,RETa0fa6f9c,9.49,,GBP,20251104_163814
PRC00000039,PRDd303c68c,RET73f7c3d6,10.0,,GBP,20251104_163814
PRC00000040,PRD1abbc9e5,RET0aa3e2c2,12.0,,GBP,20251104_163814
PRC00000041,PRD9b79b834,RETa0fa6f9c,5.99,,GBP,20251104_163814
PRC00000042,PRD8106836a,RETb27cc288,8.99,,GBP,20251104_163814
PRC00000043,PRDf1e29bae,RET608351c8,7.75,,GBP,20251104_163814
PRC00000044,PRD0f733f9f,RETa0fa6f9c,7.45,,GBP,20251104_163814
PRC00000045,PRD0b9cc6a2,RETa2b176ea,5.99,,GBP,20251104_163814
PRC00000046,PRD91ed722f,RETcce16833,5.4,,GBP,20251104_163829
PRC00000047,PRD11e0d82a,RET0ad38a55,3.8,,GBP,20251104_163829
PRC00000048,PRD6b91c54a,RET9edfdf8b,6.45,,GBP,20251104_163829
PRC00000049,PRD28f0d04b,RETf5b28a6c,4.19,,GBP,20251104_163829
PRC00000050,PRD071b7656,RETa0fa6f9c,4.99,,GBP,20251104_163829
PRC00000051,PRDbe4a00e2,RET28253998,8.86,,GBP,20251104_163829
PRC00000052,PRD543307a2,RET510fb6e8,10.3,,GBP,20251104_163829
PRC00000053,PRDe1842d97,RETa0fa6f9c,8.99,,GBP,20251104_163829
PRC00000054,PRDdc68d96a,RETceb0aaa8,13.14,,GBP,20251104_163829
PRC00000055,PRD4ce73b60,RET42e2b1ed,8.5,,GBP,20251104_163829
PRC00000056,PRDa5594821,RETa0fa6f9c,4.49,,GBP,20251104_163829
PRC00000057,PRD51a7ca60,RET7e04650c,11.54,,GBP,20251104_163829
PRC00000058,PRD29f7e218,RET8ce345ae,18.5,,GBP,20251104_163829
PRC00000059,PRD3873f52e,RETa0fa6f9c,5.25,,GBP,20251104_163829
PRC00000060,PRDe94000d1,RET58e62e09,4.95,,GBP,20251104_163829
PRC00000061,PRD8349979c,RETf4bf3041,7.99,,GBP,20251104_163829
PRC00000062,PRD324be61a,RETa0fa6f9c,6.99,,GBP,20251104_163829
PRC00000063,PRD9ed1bd83,RET9db3f2b6,12.0,,GBP,20251104_163829
PRC00000064,PRD4feb3c47,RET7e6e9c9f,6.85,,GBP,20251104_163829
PRC00000065,PRD6f45d19c,RETa0fa6f9c,13.99,,GBP,20251104_163829
PRC00000066,PRDc89a326e,RETae67e2fb,6.05,,GBP,20251104_163829
PRC00000067,PRD8106836a,RETb27cc288,8.99,,GBP,20251104_163829
PRC00000068,PRDc7d7dd44,RETa0fa6f9c,4.99,,GBP,20251104_163829
PRC00000069,PRDdefccdbb,RETf965f523,11.99,,GBP,20251104_163829
PRC00000070,PRD6fbcadc8,RET33801aa1,1.19,,GBP,20251104_163829
PRC00000071,PRD0a220bcc,RET33801aa1,1.19,,GBP,20251104_163829
PRC00000072,PRD6d9b4a2b,RETa0fa6f9c,10.98,,GBP,20251104_163829
PRC00000073,PRDfd410dee,RETd333684a,6.95,,GBP,20251104_163829
PRC00000074,PRD147f2ef9,RET9b63be40,4.99,,GBP,20251104_163829
PRC00000075,PRD4c6894ec,RET38ef123e,12.5,,GBP,20251104_163829
PRC00000076,PRDdd85df46,RETa0fa6f9c,6.99,,GBP,20251104_163829
PRC00000077,PRDa92dab66,RETd727216d,6.99,,GBP,20251104_163829
PRC00000078,PRD09cd20eb,RET0f11defc,8.5,,GBP,20251104_163829
PRC00000079,PRDb46a5a02,RET7fb51180,3.0,,GBP,20251104_163829
