product_id,product_name,brand_id,category_id,size_value,size_unit
PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,BRDec140568,CAT4f1e3d60,,
PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,BRD162d58fc,CAT4f1e3d60,,
PRD206c4781,the earthling co. Moisturizing Shampoo Bar,,CAT4f1e3d60,,
PRD0f0d0418,Kitsch Shampoo Bar Rice Water Protein,BRD84858b44,CAT4f1e3d60,,
PRD83f84d5b,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,BRD162d58fc,CAT4f1e3d60,,
PRD1e850c4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,BRD29cd4600,CAT4f1e3d60,,
PRDe86336bb,Garnier Ultimate Blends Coconut Hydrating Shampoo Bar with Aloe Vera for Normal Hair,BRD162d58fc,CAT4f1e3d60,60.0,g
PRDcbfb5f45,Alberto Balsam Sunkissed Raspberry Shampoo Bar,BRDc686bb67,CAT4f1e3d60,,
PRD71523043,"Nature Triangle Shampoo Bar, Natural Cypress Leaf Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair Vegan, for Hair Care for Women and Mens (",BRDc360e6fd,CAT4f1e3d60,,
PRDc39c546e,Eco Warrior Dry Hair Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,BRD29cd4600,CAT4f1e3d60,85.0,g
PRD3ac1f6ed,Garnier Ultimate Blends Argan & Camellia Shampoo Bar,BRD162d58fc,CAT4f1e3d60,,
PRDf1e29bae,The Highland Soap Co. Seaweed Shampoo Bar,BRD2cd68e6f,CAT4f1e3d60,,
PRD39a03679,ethique Shampoo Bar for Fine,,CAT4f1e3d60,,
PRD17d42fdf,Eco Warrior Nourishing Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRD5cbb3d08,Handmade Solid Shampoo Bar,BRD4e7e12ed,CAT4f1e3d60,,
PRD214bc95b,Friendly Soap Lavender & Geranium Shampoo Bar,BRD6003a530,CAT4f1e3d60,,
PRDbf7d8f07,"Nature Triangle Shampoo Bar, Usman Grass Shampoo Bar, Nature Seven Green Soap Shampoos Bars, Nourishing Care for Healthy-Looking Hair ()",BRDc360e6fd,CAT4f1e3d60,1.0,pcs
PRD073ac21d,Eco Warrior Sensitive Scalp Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRD971ea558,OGX Coconut Milk Shampoo Bar,BRD3fc86590,CAT4f1e3d60,,
PRDbb09309a,Folk Soap Shampoo Bar,BRD3922bcfe,CAT4f1e3d60,,
PRD223495c4,"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Usman Grass ShampooBar, Natural Plant Ingredients, Calming & Strengthens Hair for Women",BRDc360e6fd,CAT4f1e3d60,,
PRD1800de9b,Mint & Tea Tree Shampoo Bar,BRDca8a196f,CAT4f1e3d60,,
PRDbfb66f63,"Nature Triangle Shampoo Bar, Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar,Thinning Hair-Volume Shampoo Bar for Men and Women,Hair Growth",BRDc360e6fd,CAT4f1e3d60,,
PRDf3e97cb3,Bleach London Rose Shampoo Bar,BRDc09ecb02,CAT4f1e3d60,,
PRDdd85df46,"Nature Triangle Shampoo Bar, Nature Seven Green Soap shampoo, Seven Green Shampoo bar, Usman Grass Shampoo Bar, Polygonum Shampoo Soap, Calming &",BRDc360e6fd,CAT4f1e3d60,,
PRD1abbc9e5,Only Curls Curl Cleansing Shampoo Bar,BRD0aa3e2c2,CAT4f1e3d60,,
PRD64e43e15,"Nature Triangle Shampoo Bar - Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar For Hair Care & Hair Growth, Calming & Strengthens Hairs For",BRDc360e6fd,CAT4f1e3d60,,
PRD0590e833,Davines Love Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRD4633f3ef,"Nature Triangle Shampoo Bar, Usman Grass & Nature Seven Green Soap Solid Shampoo, Gentle Hair Cleansing & Strengthening for Women and Men (1)",BRDc360e6fd,CAT4f1e3d60,,
PRD5c946edc,Amphora Twilight Shampoo Bar,BRD6685437a,CAT4f1e3d60,,
PRD9f09222c,Nature Triangle Usman Grass Shampoo Bar,BRDc360e6fd,CAT4f1e3d60,,
PRD72f1df5a,Tropical Mango Solid Shampoo Bar,BRDd3216cda,CAT4f1e3d60,,
PRD7314954f,OnBuy Mini Solid Shampoo Bar Variety Pack,BRD0ed254f3,CAT4f1e3d60,,
PRDaa501f7b,The Little Goat Soap Company Goats Milk and Neem Oil Shampoo Bar,BRDa8d1ddf7,CAT4f1e3d60,,
PRD3873f52e,Garnier Ultimate Blends Shampoo Bar Ginger Recovery,BRD162d58fc,CAT4f1e3d60,60.0,g
PRD5cb13c22,Scottish Fine Soaps Vetiver & Sandalwood Shampoo Bar Wrapped,BRDd7296ac2,CAT4f1e3d60,100.0,g
PRD59ef5692,J.R.Liggett's Original Shampoo Bar,BRD8d2bed0b,CAT4f1e3d60,,
PRD2da155c7,"Nature Usman's Thuja Leaf Shampoo Bar, Nature Triangle Shampoo Bar, Green Soap Triangle Bar, Calming & Strengthens for Women And Men Haircare Products",BRD29659e87,CAT4f1e3d60,,
PRD1b84c93f,Beauty Kitchen Rosemary Mint Shampoo Bar,BRD464aaf4d,CAT4f1e3d60,,
PRDe0b70b3d,Yorkshire Goddess Shampoo Bar,BRD62532888,CAT4f1e3d60,,
PRD51a7ca60,Clarins Nourishing Shampoo Bar,BRDc83c948f,CAT4f1e3d60,,
PRD2bb4cb12,FOAmie Aloe Vera Shampoo Bar,BRDf129f64e,CAT4f1e3d60,,
PRD9ed1bd83,Intense Moisture Shampoo Bar grüum Dry & Heat Damaged,BRDaaa615e0,CAT4f1e3d60,,
PRD465c7bde,Wideye Green Tea & Eucalyptus Natural Shampoo Bar,BRDef981f03,CAT4f1e3d60,,
PRD4ebccb85,Natural Triangle Usman Grass Shampoo Bar,,CAT4f1e3d60,2.0,pcs
PRD645c018b,Old Guys Rule 'Coconut Oil' Shampoo Bar,BRD59cd474c,CAT4f1e3d60,,
PRD075efe0b,Naked Soap Free Hair Shampoo Bars,BRD8301ac0d,CAT4f1e3d60,,
PRD48321c1e,Head and Shoulders Anti Dandruff Shampoo Bar With Citrus,BRD98921133,CAT4f1e3d60,70.0,g
PRD0f733f9f,Arista Shampoo Bar Anti-dandruff,BRD27ab859d,CAT4f1e3d60,80.0,g
PRD894e87a6,Classy Camomille* Shampoo Bar,BRDe4130bc1,CAT4f1e3d60,,
PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRD4e993f13,Citrus Burst Solid Shampoo Bar,BRDa3a87320,CAT4f1e3d60,,
PRDb46a5a02,Ancient Wisdom Solid Shampoo Bar,BRD04af006a,CAT4f1e3d60,,
PRDe24e6862,Areton HandMade Solid Shampoo Bar,BRD26c40693,CAT4f1e3d60,,
PRD28f0d04b,Goats Of The Gorge Milk Shampoo Bar,BRD5c58c0d3,CAT4f1e3d60,,
PRD6c1d66f0,Faith in Nature Lavender & Geranium Shampoo Bar,BRD29cd4600,CAT4f1e3d60,,
PRDd39ffea1,Bounty Hunter Dry Damaged Hair Shampoo Bar,BRD77c998a0,CAT4f1e3d60,,
PRDbc45741b,Davines DEDE Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRDc3c3e186,Aussie Nourishing Hug Shampoo Bar,BRDa435f839,CAT4f1e3d60,,
PRD3d2887a7,Eco Warrior Blue Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRDbec37e07,Natural Vegan Shampoo Bar,BRD397dcdf1,CAT4f1e3d60,,
PRD0723e05d,Gently Does It Shampoo,BRD9bc586f1,CAT4f1e3d60,,
PRDa7e1eac5,ATTITUDE Detox Shampoo Bar,BRD21d79d21,CAT4f1e3d60,,
PRD10389236,Herbal Essences Hydrating Vegan Shampoo Bar,BRDb5cf0ce0,CAT4f1e3d60,,
PRDeb8c5891,KinKind Shampoo & Bodywash Bars Set,BRDc832dc42,CAT4f1e3d60,,
PRDc89a326e,Shampoo Bars Honing,BRDf571eefe,CAT4f1e3d60,,
PRDf8dd2af5,Project Lavender & Lemongrass Shampoo Bar,BRDcf7bde0d,CAT4f1e3d60,,
PRD5160929d,"Green Soap, Shampoo Bar, Natural Usman Grass Sticky Rice Water Solid Soap, Platycladus Orientalis Leaves Soap, Glutinous Rice Water Solid Shampoo Bar",BRD8d937c83,CAT4f1e3d60,,
PRD4719f24e,Hydrating Conditioning Solid Shampoo Bar,BRD87cbdc1c,CAT4f1e3d60,,
PRD156eb8db,"Traditional Chinese Herbal Shampoo Soap Bar, Natural Ingredients, Cold Processed",BRDd0bb8c23,CAT4f1e3d60,100.5,g
PRD39bc4e51,"Turmeric Shampoo Bar,Ginger Hair Regrowth Shampoo Bar with Soap Bag,Natural Solid Shampoo Soap for Strengthen, Volumize & Thicken All Hair Types",BRD8acdc358,CAT4f1e3d60,,
PRDbac6a177,Kitsch Tea Tree & Mint Clarifying Shampoo Bar,BRD84858b44,CAT4f1e3d60,,
PRD5ccc60fe,New Dawn UK Patchouli Shampoo Bar,BRD0034d4a8,CAT4f1e3d60,,
PRD543307a2,J.R. Liggett's Tea Tree & Hemp Oil Shampoo Bar,BRD927bfd3e,CAT4f1e3d60,,
PRDa15a678b,J.R. Liggett's Herbal Shampoo Bar,BRD927bfd3e,CAT4f1e3d60,,
PRD83cc251e,"Nature Triangle Shampoo Bar: Nature Seven Green Shampoo Soap, Usman Grass Bar, for Women and Mens",,CAT4f1e3d60,2.0,pcs
PRDa2770b73,Marcel's Green Soap Shampoo Bar,BRDb9cfd4c9,CAT4f1e3d60,,
PRDdd76c9c5,Rainforest Revival Shampoo Bar Subscription,BRDbe3fac9e,CAT4f1e3d60,,
PRD6b91c54a,New Dawn UK Lavender Shampoo Bar,BRD0034d4a8,CAT4f1e3d60,,
PRDbe4a00e2,Ethique Heali Kiwi Solid Shampoo Bar,BRDa4a6260d,CAT4f1e3d60,,
PRDae53ed88,Building Blocks GB LTD Argan Solid Shampoo Bar Eucalyptus,BRD8f118902,CAT4f1e3d60,115.0,g
PRDc2643e4f,Faith in Nature Shea & Argan Shampoo Bar,BRD29cd4600,CAT4f1e3d60,,
PRD6572e1b1,Friendly Soap - Lavender & Tea Tree Shampoo Bar - Eco Friendly,BRD6003a530,CAT4f1e3d60,,
PRD67261e04,Kitsch Biotin Purple Toning Shampoo Bar,BRD84858b44,CAT4f1e3d60,,
PRD3a3d296d,Natural Shampoo Bar - Rosemary & Lavender - Wild Sage & Co,BRD0c603f99,CAT4f1e3d60,100.0,g
PRDe7126446,Pink Sheep Do Exist Shampoo Bar,BRDc2e1536a,CAT4f1e3d60,,
PRD8f7b3df7,Skoon Solid Shampoo Bar Colour & Shine,BRD3937a918,CAT4f1e3d60,,
PRD5d23e71f,Waterworld Sports Natural Lemon Shampoo Bar,BRD7caa4e08,CAT4f1e3d60,,
PRD5fd7f81c,Shampoo bar Nettle and marshmallow to soothe scalp and reduce hair loss,BRD2fb722da,CAT4f1e3d60,,
PRD071106d5,Wideye Hair Shampoo Bar,BRD74ae9a78,CAT4f1e3d60,,
PRD41872344,Bree Probiotic Hair Shampoo Bar,BRD52633366,CAT4f1e3d60,,
PRD839de7e8,Lavender & Tea Tree Shampoo Bar,BRDe346c232,CAT4f1e3d60,,
PRDffe8bd97,Friendly Shampoo Bar | Lavender and Tea Tree,BRDa33d20c3,CAT4f1e3d60,,
PRD2f61ae69,Dry & Flaky Scalp Solid Shampoo & Conditioner,BRDbbdc4863,CAT4f1e3d60,,
PRDdf10427c,Handmade Natural Shampoo Bars Plastic-Free | Vegan | Hair-Nourishing | No Transition Phase Pink,BRD9c1a3733,CAT4f1e3d60,,
PRD0ab70cfb,Arista Anti-Dandruff Shampoo Bar,BRD047f5210,CAT4f1e3d60,,
PRD5873124b,"SeoulGlow Cypress Leaf Hair Growth Soap, Nature Triangle Shampoo Bar, Natural Plant Based Herbal Solid Shampoos Care, Gentle Hair Cleansing and",BRD037b0bba,CAT4f1e3d60,120.0,g
PRDb1d1c035,Orange & Grapefruit Shampoo Bar,BRD909cea0c,CAT4f1e3d60,,
PRD66e056dc,Skoon Shampoo Bar Hydrating Power,BRD7a0f2ca5,CAT4f1e3d60,,
PRD1a5b224c,Lavender & Rosemary Shampoo Bar,BRDe346c232,CAT4f1e3d60,,
PRDf22a5aba,Nope. Unisex Argan Roots Shampoo Bar,BRD8de545fa,CAT4f1e3d60,,
PRD4cfa473d,Wideye No Travel Tin Hair Shampoo Bar,BRD0e0e3189,CAT4f1e3d60,,
PRDb61b0db5,Tea Tree & Mint Shampoo Bar,BRDc4cef4cb,CAT4f1e3d60,,
PRDbe020275,Argan Solid Shampoo Bar Sage & Juniper,BRD3fc25bad,CAT4f1e3d60,115.0,g
PRD0b303547,Kelpie Shampoo Bar for Curly Hair,BRDe597591c,CAT4f1e3d60,,
PRD7ad8f502,Hair Blocks Solid Shampoo Bar Peppermint,BRD8e677c9b,CAT4f1e3d60,,
