retailer_id,source_id,retailer_name
RETa0fa6f9c,SRC00000001,Amazon.co.uk - Amazon.co.uk-Seller
RETe784f364,SRC00000001,Peace With The Wild
RET5d405dd5,SRC00000001,Notino.co.uk
RETf78d55e5,SRC00000001,fruugo.co.uk
RETc08019dc,SRC00000001,Babi Pur
RET68fa91aa,SRC00000001,eBay - gudz_uk
RET92813e6a,SRC00000001,John Lewis & Partners
RET0df790d9,SRC00000001,SHEIN
RETabc4e5a9,SRC00000001,Hogies Online
RET10ac3d04,SRC00000001,Next
RET19a51e60,SRC00000001,Perfumes Club UK
RETa898eb44,SRC00000001,Tatcha UK
RETb60306d4,SRC00000001,The Ordinary
RETc08adf5d,SRC00000001,Fenty Beauty UK
