product_id,product_name,brand_name,category_name,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD206c4781,the earthling co. Moisturizing Shampoo Bar,,Shampoo Bar,,,9.5,GBP,the earthling co.,the earthling co moisturizing shampoo bar,none,shampoo bar,No match >= threshold
PRD39a03679,ethique Shampoo Bar for Fine,,Shampoo Bar,,,3.0,GBP,ethique gb,ethique shampoo bar for fine,none,shampoo bar,No match >= threshold
PRD4ebccb85,Natural Triangle Usman Grass Shampoo Bar,,Shampoo Bar,2.0,pcs,6.89,GBP,amazon.co.uk - amazon.co.uk-seller,natural triangle usman grass shampoo bar,none,shampoo bar,No match >= threshold
PRD83cc251e,"Nature Triangle Shampoo Bar: Nature Seven Green Shampoo Soap, Usman Grass Bar, for Women and Mens",,Shampoo Bar,2.0,pcs,12.99,GBP,amazon.co.uk - amazon.co.uk-seller,nature triangle shampoo bar nature seven green shampoo soap usman grass bar for women and mens,none,shampoo bar,No match >= threshold
PRDe4894e60,ecoLiving Shampoo bar Fragrance Free /,,Shampoo Bar,25.0,g,2.8,GBP,eco bee,ecoliving shampoo bar fragrance free ,none,shampoo bar,No match >= threshold
PRDee2dd3fd,grüum Frizz Control Shampoo Bar Vegan,,Shampoo Bar,,,12.0,GBP,grüum,gr um frizz control shampoo bar vegan,none,shampoo bar,No match >= threshold
PRD09cc226c,ecoLiving Shampoo Bar - Soap Free,,Shampoo Bar,,,2.0,GBP,ecoliving,ecoliving shampoo bar soap free,none,shampoo bar,No match >= threshold
PRD164e18d5,ethique Clarifying Shampoo Bar for Oily Hair & Scalp 10 Uses,,Shampoo Bar,,,3.0,GBP,ethique gb,ethique clarifying shampoo bar for oily hair scalp 10 uses,none,shampoo bar,No match >= threshold
PRDbdaf38ab,grüum Hår Zero Plastic Shampoo Bar,,Shampoo Bar,50.0,g,9.0,GBP,amazon.co.uk - amazon.co.uk-seller,gr um h r zero plastic shampoo bar,none,shampoo bar,No match >= threshold
PRD194963fe,grüum Hår Brightening Lemon Shampoo Bar,,Shampoo Bar,50.0,g,9.0,GBP,grüum,gr um h r brightening lemon shampoo bar,none,shampoo bar,No match >= threshold
PRDc1fc924c,"Natural Cinnamon Shampoo Bar for Hair Growth, Moisturizing Hair Shampoo Soap for Damaged Frizzy Hair, Strengthening Solid Shampoo Bar for Men",,Shampoo Bar,3.0,pack,9.99,GBP,amazon.co.uk - amazon.co.uk-seller,natural cinnamon shampoo bar for hair growth moisturizing hair shampoo soap for damaged frizzy hair strengthening solid shampoo bar for men,none,shampoo bar,No match >= threshold
PRDccecf3d2,3 Dandruff Shampoo Bars Abyssinian Oil & Black Jamaican Castor Oil,,Shampoo Bar,,,23.16,GBP,ebay - clearandsmooth,3 dandruff shampoo bars abyssinian oil black jamaican castor oil,none,shampoo bar,No match >= threshold
PRD201ab1cd,grüum Twin Pack Volumising Shampoo Bar Solid Shampoo Bars for Hair Up to 60 Washes,,Shampoo Bar,50.0,g,16.0,GBP,amazon.co.uk - amazon.co.uk-seller,gr um twin pack volumising shampoo bar solid shampoo bars for hair up to 60 washes,none,shampoo bar,No match >= threshold
PRD9465d12b,grüum Hår Shine Boost Henna + Juniper Shampoo Bar,,Shampoo Bar,50.0,g,9.0,GBP,amazon.co.uk - amazon.co.uk-seller,gr um h r shine boost henna juniper shampoo bar,none,shampoo bar,No match >= threshold
PRDf2daad50,"2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",,Shampoo Bar,1.0,pcs,6.89,GBP,fruugo.co.uk,2025 nature triangle shampoo bar nature seven green soap shampoo natural usman grass shampoo bar calming strengthens hair for women and men,none,shampoo bar,No match >= threshold
PRDd8d93ae9,"1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",,Shampoo Bar,1.0,pcs,12.95,GBP,fruugo.co.uk,1 3x nature triangle shampoo bar nature seven green soap shampoo natural usman grass shampoo bar calming strengthens hair for women and men,none,shampoo bar,No match >= threshold
PRDfc83ef9f,Rice Water Shampoo Bar Gentle And Effective Hair Care Solution For Hydration Cleansing And Nourishment pa14 A,,Shampoo Bar,60.0,g,7.95,GBP,fruugo.co.uk,rice water shampoo bar gentle and effective hair care solution for hydration cleansing and nourishment pa14 a,none,shampoo bar,No match >= threshold
PRD976b5bdb,greenatural Solid Shampoo with Activated Charcoal & Ginger,,Shampoo Bar,,,31.91,GBP,ebay - onebioshopcom,greenatural solid shampoo with activated charcoal ginger,none,shampoo bar,No match >= threshold
PRD56e01d4f,unbrand Platycladus Orientalis Shampoo Bar Natural Usman Grass Solid Shampoo Bar for Gentle Cleansing & Nourishing Care for All Hair Types,,Shampoo Bar,,,9.6,GBP,fruugo.co.uk,unbrand platycladus orientalis shampoo bar natural usman grass solid shampoo bar for gentle cleansing nourishing care for all hair types,none,shampoo bar,No match >= threshold
PRDe35a5fb3,ethique Smoothing Shampoo Bar for Frizzy Hair 10 Uses,,Shampoo Bar,,,3.0,GBP,ethique gb,ethique smoothing shampoo bar for frizzy hair 10 uses,none,shampoo bar,No match >= threshold
PRDb210fb72,Poppy Fields Solid Shampoo Loaf | UK Made | Vegan Premium Ingredients - Baysoap,Poppy Fields,Shampoo Bar,1.0,kg,14.99,GBP,bay soap,poppy fields solid shampoo loaf uk made vegan premium ingredients baysoap,poppy fields,shampoo bar,No match >= threshold
PRD90aff6de,Balancing Natural Shampoo Bar for Oily Hair - - AA SKINCARE,Balancing Natural,Shampoo Bar,50.0,g,6.25,GBP,the evolution,balancing natural shampoo bar for oily hair aa skincare,balancing natural,shampoo bar,No match >= threshold
PRD57207f1a,Ethique Firzz Wrangler Shampoo for Dry and/or Frizz Hair,Ethique Firzz,Shampoo Bar,,,22.27,GBP,ebay,ethique firzz wrangler shampoo for dry and or frizz hair,ethique firzz,shampoo bar,No match >= threshold
PRDcb0b8787,OnBuy.com Handmade Hair Shampoo Bar,OnBuy.com Handmade,Shampoo Bar,,,18.55,GBP,pure-keratin.com,onbuy com handmade hair shampoo bar,onbuy com handmade,shampoo bar,No match >= threshold
PRDf7f8d05c,Shampoobars 3 in 1 Bar,Shampoobars,Shampoo Bar,60.0,g,9.2,GBP,salontotal.co.uk,shampoobars 3 in 1 bar,shampoobars,shampoo bar,No match >= threshold
