product_1_name,product_2_id,product_2_name,size_unit_1,retailer_1,match_source,price_1,brand_1,lexical_similarity,brand_similarity,price_2,size_value_2,category,size_value_1,size_unit_2,brand_2,currency_2,currency_1,similarity,product_1_id,size_similarity,retailer_2
Murad Vita-C Brightening Serum,PRDe74180c3,Brightening Serum,ml,Ambrose Wilson,post_processing,21.0,Murad Vita-C,76.0,0.0,90.0,,Face Serum,10.0,,Brightening Serum,GBP,GBP,61.0,PRD004e547d,50.0,Shavata Singh
I Love Wellness Sleep Body Butter,PRD8ce93f8d,I Love Cosmetics Vanilla Milk Body Butter,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,9.99,I Love,60.13,100.0,9.99,,Body Butter,,,I Love,GBP,GBP,82.5,PRD01f73956,50.0,Amazon.co.uk - Amazon.co.uk-Seller
I Love Wellness Sleep Body Butter,PRDa700eca3,I Love Cosmetics Body Butter Mango & Papaya,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,9.99,I Love,60.13,100.0,5.99,,Body Butter,,,I Love,GBP,GBP,76.8,PRD01f73956,50.0,Amazon.co.uk - Amazon.co.uk-Seller
Nourishing Conditioner Bar,PRD2c4133ca,alott - nourishing conditioner bar,,Marigold Charms,main_engine,7.0,Nourishing Conditioner,90.0,50.0,16.0,,Conditioner Bar,,,,GBP,GBP,88.6,PRD03dcabb3,50.0,Jjungl
Nourishing Conditioner Bar,PRDca4b0565,alott - nourishing conditioner bar | Glow Organic,,Marigold Charms,main_engine,7.0,Nourishing Conditioner,80.0,50.0,16.0,,Conditioner Bar,,,,GBP,GBP,74.8,PRD03dcabb3,50.0,Glow Organic
Nourishing Conditioner Bar,PRDe87d03f9,"unbrand Castor Oil Conditioner Bar - Nourishing & Soothing Natural Deep Conditioner for All Hair Types - Hair Moisturizing, Cleansing Solid Soap Ba...",,Marigold Charms,main_engine,7.0,Nourishing Conditioner,66.67,50.0,5.99,,Conditioner Bar,,,,GBP,GBP,65.9,PRD03dcabb3,50.0,fruugo.co.uk
Davines Love Shampoo Bar,PRDbc45741b,Davines DEDE Shampoo Bar,,Cult Beauty,main_engine,18.5,Davines,77.02,100.0,18.5,,Shampoo Bar,,,Davines,GBP,GBP,100.0,PRD0590e833,50.0,North Laine Hair Company
Davines Love Shampoo Bar,PRDbc45741b,Davines DEDE Shampoo Bar,,Cult Beauty,main_engine,18.5,Davines,77.02,100.0,18.5,,Shampoo Bar,,,Davines,GBP,GBP,100.0,PRD0590e833,50.0,Davines
(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,PRD4c4baf48,Mint Conditioner Bar,g,eBay,main_engine,114.93,,59.43,50.0,4.99,55.0,Conditioner Bar,60.0,g,Mint Conditioner,GBP,GBP,65.8,PRD05a78c1c,50.0,BotaniVie
The Fragrance Free One - Solid Conditioner Bar,PRD47cdc87a,Fragrance-Free Solid Conditioner Bar,g,Urban Makers,main_engine,12.5,The Fragrance,88.57,0.0,7.55,,Conditioner Bar,65.0,,Fragrance-Free Solid,GBP,GBP,65.6,PRD06a28bad,50.0,Superfly Soap
Wideye Hair Shampoo Bar,PRD4cfa473d,Wideye No Travel Tin Hair Shampoo Bar,,wideye.co.uk,post_processing,6.95,Wideye Hair,82.86,0.0,9.95,,Shampoo Bar,,,Wideye No,GBP,GBP,67.9,PRD071106d5,50.0,wideye.co.uk
Wideye Hair Shampoo Bar,PRD94df6e4e,Shampoo Bar,,wideye.co.uk,post_processing,6.95,Wideye Hair,80.0,0.0,4.99,,Shampoo Bar,,,Shampoo Bar,GBP,GBP,65.0,PRD071106d5,50.0,The Suffolk Soap Co.
Eco Warrior Sensitive Scalp Shampoo Bar,PRD3d2887a7,Eco Warrior Blue Shampoo Bar,,Waitrose & Partners,main_engine,4.35,Eco Warrior,76.97,100.0,6.5,,Shampoo Bar,,,Eco Warrior,GBP,GBP,99.2,PRD073ac21d,50.0,Justmylook
Eco Warrior Sensitive Scalp Shampoo Bar,PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,,Waitrose & Partners,main_engine,4.35,Eco Warrior,66.2,100.0,5.5,,Shampoo Bar,,,Eco Warrior,GBP,GBP,91.6,PRD073ac21d,50.0,Amazon.co.uk
Naked Soap Free Hair Shampoo Bars,PRD09cc226c,ecoLiving Shampoo Bar - Soap Free,,Superfly Soap,main_engine,7.0,Naked Soap,60.0,50.0,2.0,,Shampoo Bar,,,,GBP,GBP,69.4,PRD075efe0b,50.0,Ecoliving
Palmer's Cocoa Butter Formula Body Lotion,PRD8ddeb742,Palmer's Cocoa Butter Formula Lotion,,Tesco,main_engine,6.0,Palmer's Cocoa,94.29,100.0,4.49,,Body Butter,,,Palmer's Cocoa,GBP,GBP,100.0,PRD07b14a1b,50.0,Boots.com
Palmer's Cocoa Butter Formula Body Lotion,PRD30f1d99b,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,,Tesco,main_engine,6.0,Palmer's Cocoa,67.9,100.0,6.99,,Body Butter,,,Palmer's Cocoa,GBP,GBP,90.1,PRD07b14a1b,50.0,spotofglam.co.uk
ecoLiving Shampoo Bar - Soap Free,PRDb311571e,Friendly Soap Plastic-Free Shampoo Bar,,Ecoliving,main_engine,2.0,,71.32,50.0,2.6,,Shampoo Bar,,,Friendly Soap,GBP,GBP,76.7,PRD09cc226c,50.0,Boobalou
Bronnley Eclectic Elements Body Butter,PRD6f3fe59b,Bronnley Eclectic Elements Zealous Flower Body Butter,ml,eBay,main_engine,13.36,Bronnley Eclectic,88.57,100.0,13.36,200.0,Body Butter,200.0,ml,Bronnley Eclectic,GBP,GBP,100.0,PRD09d04044,100.0,eBay
Tree Hut Whipped Body Butter Vanilla,PRD7afe8a16,Tree Hut Coco Colada Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,77.5,100.0,11.99,,Body Butter,,,Tree Hut,GBP,GBP,100.0,PRD0ac1e5bb,50.0,Boots.com
Tree Hut Whipped Body Butter Vanilla,PRD3e158b60,Tree Hut Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,93.33,100.0,15.99,,Body Butter,,,Tree Hut,GBP,GBP,100.0,PRD0ac1e5bb,50.0,Holland & Barrett
Tree Hut Whipped Body Butter Vanilla,PRD8fe440bd,Tree Hut Tropic Glow Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,77.5,100.0,11.99,,Body Butter,,,Tree Hut,GBP,GBP,99.1,PRD0ac1e5bb,50.0,Boots.com
Tree Hut Whipped Body Butter Vanilla,PRD4a89a3ef,Tree Hut Moroccan Rose Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,77.5,100.0,15.99,,Body Butter,,,Tree Hut,GBP,GBP,96.9,PRD0ac1e5bb,50.0,Boots.com
Tree Hut Whipped Body Butter Vanilla,PRD3b9ce914,Tree Hut Tropic Glow Firming Whipped Body Butter,,Boots.com,main_engine,11.99,Tree Hut,74.72,100.0,15.99,,Body Butter,,,Tree Hut,GBP,GBP,96.0,PRD0ac1e5bb,50.0,Holland & Barrett
Tree Hut Whipped Body Butter Vanilla,PRD1c771653,skinnydip london Supermarket Vanilla Body Butter,,Boots.com,main_engine,11.99,Tree Hut,54.79,50.0,8.0,200.0,Body Butter,,g,,GBP,GBP,68.7,PRD0ac1e5bb,50.0,Skinnydip
Kelpie Shampoo Bar for Curly Hair,PRD177717f8,Miracube Hair Shampoo Bar For Curly Hair,,Tappermade,post_processing,8.3,Kelpie Shampoo,81.45,0.0,11.57,,Shampoo Bar,,,Miracube Hair,GBP,GBP,66.5,PRD0b303547,50.0,eBay
"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",PRDf2daad50,"2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",,fruugo.co.uk,main_engine,11.88,Nature Triangle,92.63,50.0,6.89,1.0,Shampoo Bar,,pcs,,GBP,GBP,92.3,PRD0d372918,50.0,fruugo.co.uk
"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",PRDd8d93ae9,"1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",,fruugo.co.uk,main_engine,11.88,Nature Triangle,91.01,50.0,12.95,1.0,Shampoo Bar,,pcs,,GBP,GBP,92.2,PRD0d372918,50.0,fruugo.co.uk
Unscented Conditioner Solid Bar,PRDe76a14df,Unscented Conditioner Bars,,Megan and Willow,main_engine,4.0,Unscented Conditioner,70.74,100.0,10.0,,Conditioner Bar,,,Unscented Conditioner,GBP,GBP,98.3,PRD0e1b0d18,50.0,Pentland Aromatics
Kitsch Shampoo Bar Rice Water Protein,PRD67261e04,Kitsch Biotin Purple Toning Shampoo Bar,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,8.39,Kitsch,57.54,100.0,11.0,,Shampoo Bar,,,Kitsch,GBP,GBP,75.8,PRD0f0d0418,50.0,Kitsch
Kitsch Shampoo Bar Rice Water Protein,PRDbac6a177,Kitsch Tea Tree & Mint Clarifying Shampoo Bar,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,8.39,Kitsch,54.0,100.0,11.0,,Shampoo Bar,,,Kitsch,GBP,GBP,75.1,PRD0f0d0418,50.0,Kitsch
Arista Shampoo Bar Anti-dandruff,PRD0ab70cfb,Arista Anti-Dandruff Shampoo Bar,g,Fairhaven Wholefoods,main_engine,6.89,Arista Shampoo,100.0,0.0,6.75,,Shampoo Bar,80.0,,Arista Anti-Dandruff,GBP,GBP,84.6,PRD0f733f9f,50.0,Dolphin Fitness
