product_id,product_name,brand_id,brand_name,category_id,category_name,size_value,size_unit,price,currency,date_collected,retailer_name,product_clean,brand_clean,category_clean,retailer_clean,reason_unmatched
PRDcbfb5f45,Alberto Balsam Sunkissed Raspberry Shampoo Bar,BRDc686bb67,Alberto Balsam,CAT4f1e3d60,Shampoo Bar,,,1.09,GBP,20251108_120316,VitaPoint,alberto balsam sunkissed raspberry shampoo bar,alberto balsam,shampoo bar,vitapoint,No match >= 65 (enhanced)
PRDf1e29bae,The Highland Soap Co. Seaweed Shampoo Bar,BRD2cd68e6f,The Highland,CAT4f1e3d60,Shampoo Bar,,,7.75,GBP,20251108_120316,The Highland Soap Company,the highland soap co seaweed shampoo bar,the highland,shampoo bar,the highland soap company,No match >= 65 (enhanced)
PRD1abbc9e5,Only Curls Curl Cleansing Shampoo Bar,BRD0aa3e2c2,Only Curls,CAT4f1e3d60,Shampoo Bar,,,12.0,GBP,20251108_120316,Only Curls,only curls curl cleansing shampoo bar,only curls,shampoo bar,only curls,No match >= 65 (enhanced)
PRD7314954f,OnBuy Mini Solid Shampoo Bar Variety Pack,BRD0ed254f3,OnBuy Mini,CAT4f1e3d60,Shampoo Bar,,,11.99,GBP,20251108_120316,Amazon.co.uk - Amazon.co.uk-Seller,onbuy mini solid shampoo bar variety pack,onbuy mini,shampoo bar,amazon co uk amazon co uk seller,No match >= 65 (enhanced)
PRDaa501f7b,The Little Goat Soap Company Goats Milk and Neem Oil Shampoo Bar,BRDa8d1ddf7,The Little,CAT4f1e3d60,Shampoo Bar,,,4.95,GBP,20251108_120316,The Little Goat Soap Company,the little goat soap company goats milk and neem oil shampoo bar,the little,shampoo bar,the little goat soap company,No match >= 65 (enhanced)
PRD59ef5692,J.R.Liggett's Original Shampoo Bar,BRD8d2bed0b,J.R.Liggett's Original,CAT4f1e3d60,Shampoo Bar,,,7.99,GBP,20251108_120316,Dolphin Fitness,j r liggett s original shampoo bar,j r liggett s original,shampoo bar,dolphin fitness,No match >= 65 (enhanced)
PRD1b84c93f,Beauty Kitchen Rosemary Mint Shampoo Bar,BRD464aaf4d,Beauty Kitchen,CAT4f1e3d60,Shampoo Bar,,,10.0,GBP,20251108_120316,Beauty Kitchen,beauty kitchen rosemary mint shampoo bar,beauty kitchen,shampoo bar,beauty kitchen,No match >= 65 (enhanced)
PRD9ed1bd83,Intense Moisture Shampoo Bar grüum Dry & Heat Damaged,BRDaaa615e0,Intense Moisture,CAT4f1e3d60,Shampoo Bar,,,12.0,GBP,20251108_120340,grüum,intense moisture shampoo bar gr um dry heat damaged,intense moisture,shampoo bar,gr um,No match >= 65 (enhanced)
PRD465c7bde,Wideye Green Tea & Eucalyptus Natural Shampoo Bar,BRDef981f03,Wideye Green,CAT4f1e3d60,Shampoo Bar,,,8.95,GBP,20251108_120340,wideye.co.uk,wideye green tea eucalyptus natural shampoo bar,wideye green,shampoo bar,wideye co uk,No match >= 65 (enhanced)
PRD28f0d04b,Goats Of The Gorge Milk Shampoo Bar,BRD5c58c0d3,Goats Of,CAT4f1e3d60,Shampoo Bar,,,4.19,GBP,20251108_120340,Superdrug.com,goats of the gorge milk shampoo bar,goats of,shampoo bar,superdrug com,No match >= 65 (enhanced)
PRDd39ffea1,Bounty Hunter Dry Damaged Hair Shampoo Bar,BRD77c998a0,Bounty Hunter,CAT4f1e3d60,Shampoo Bar,,,6.49,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,bounty hunter dry damaged hair shampoo bar,bounty hunter,shampoo bar,amazon co uk amazon co uk seller,No match >= 65 (enhanced)
PRD0723e05d,Gently Does It Shampoo,BRD9bc586f1,Gently Does,CAT4f1e3d60,Shampoo Bar,,,13.99,GBP,20251108_120340,We Are Nutrified,gently does it shampoo,gently does,shampoo bar,we are nutrified,No match >= 65 (enhanced)
PRD10389236,Herbal Essences Hydrating Vegan Shampoo Bar,BRDb5cf0ce0,Herbal Essences,CAT4f1e3d60,Shampoo Bar,,,6.29,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,herbal essences hydrating vegan shampoo bar,herbal essences,shampoo bar,amazon co uk amazon co uk seller,No match >= 65 (enhanced)
PRDc89a326e,Shampoo Bars Honing,BRDf571eefe,Shampoo Bars,CAT4f1e3d60,Shampoo Bar,,,6.05,GBP,20251108_120340,Boozyshop,shampoo bars honing,shampoo bars,shampoo bar,boozyshop,No match >= 65 (enhanced)
PRD5160929d,"Green Soap, Shampoo Bar, Natural Usman Grass Sticky Rice Water Solid Soap, Platycladus Orientalis Leaves Soap, Glutinous Rice Water Solid Shampoo Bar",BRD8d937c83,"Green Soap,",CAT4f1e3d60,Shampoo Bar,,,9.99,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,green soap shampoo bar natural usman grass sticky rice water solid soap platycladus orientalis leaves soap glutinous rice water solid shampoo bar,green soap ,shampoo bar,amazon co uk amazon co uk seller,No match >= 65 (enhanced)
