product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,hybrid_name_similarity,lexical_similarity,semantic_similarity,brand_similarity,size_similarity,match_source,processing_date,engine_version,confidence_tier,match_rank
PRD004e547d,PRDe74180c3,Murad Vita-C Brightening Serum,Brightening Serum,Murad Vita-C,Brightening Serum,Face Serum,10.0,ml,,,21.0,90.0,GBP,GBP,Ambrose Wilson,Shavata Singh,61.0,,76.0,,0.0,50.0,post_processing,2025-11-18,enhanced_with_embeddings_v1,VERY_LOW,1
PRD01f73956,PRD8ce93f8d,I Love Wellness Sleep Body Butter,I Love Cosmetics Vanilla Milk Body Butter,I Love,I Love,Body Butter,,,,,9.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,82.5,62.47,60.13,65.99,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,1
PRD01f73956,PRDa700eca3,I Love Wellness Sleep Body Butter,I Love Cosmetics Body Butter Mango & Papaya,I Love,I Love,Body Butter,,,,,9.99,5.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,76.8,56.81,60.13,51.83,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,2
PRD03dcabb3,PRD2c4133ca,Nourishing Conditioner Bar,alott - nourishing conditioner bar,Nourishing Conditioner,,Conditioner Bar,,,,,7.0,16.0,GBP,GBP,Marigold Charms,Jjungl,88.6,88.62,90.0,86.56,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRD03dcabb3,PRDca4b0565,Nourishing Conditioner Bar,alott - nourishing conditioner bar | Glow Organic,Nourishing Conditioner,,Conditioner Bar,,,,,7.0,16.0,GBP,GBP,Marigold Charms,Glow Organic,74.8,74.75,80.0,66.88,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,2
PRD03dcabb3,PRDe87d03f9,Nourishing Conditioner Bar,"unbrand Castor Oil Conditioner Bar - Nourishing & Soothing Natural Deep Conditioner for All Hair Types - Hair Moisturizing, Cleansing Solid Soap Ba...",Nourishing Conditioner,,Conditioner Bar,,,,,7.0,5.99,GBP,GBP,Marigold Charms,fruugo.co.uk,65.9,65.93,66.67,64.83,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,3
PRD0590e833,PRDbc45741b,Davines Love Shampoo Bar,Davines DEDE Shampoo Bar,Davines,Davines,Shampoo Bar,,,,,18.5,18.5,GBP,GBP,Cult Beauty,North Laine Hair Company,100.0,81.24,77.02,87.56,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRD0590e833,PRDbc45741b,Davines Love Shampoo Bar,Davines DEDE Shampoo Bar,Davines,Davines,Shampoo Bar,,,,,18.5,18.5,GBP,GBP,Cult Beauty,Davines,100.0,81.24,77.02,87.56,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRD05a78c1c,PRD4c4baf48,(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,Mint Conditioner Bar,,Mint Conditioner,Conditioner Bar,60.0,g,55.0,g,114.93,4.99,GBP,GBP,eBay,BotaniVie,65.8,55.77,59.43,50.28,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,1
PRD06a28bad,PRD47cdc87a,The Fragrance Free One - Solid Conditioner Bar,Fragrance-Free Solid Conditioner Bar,The Fragrance,Fragrance-Free Solid,Conditioner Bar,65.0,g,,,12.5,7.55,GBP,GBP,Urban Makers,Superfly Soap,65.6,90.55,88.57,93.53,0.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,1
