product_id,product_name,brand_id,brand_name,category_id,category_name,size_value,size_unit,price,currency,date_collected,date_key,retailer_name,product_clean,brand_clean,category_clean,retailer_clean,size_value_norm,size_unit_norm,incomplete_record,reason_unmatched
PRD00ed9dfb,Bioderma Pigmentbio C-Concentrate 15ml Face Serum,BRDf95b7fa8,Bioderma Pigmentbio C-Concentrate,CATaa8afa4d,face serum,15.0,ml,21.75,GBP,20251125_201504,20251125,"{'url': 'https://www.lookfantastic.com/p/bioderma-pigmentbio-brightening-vitamin-c-face-serum-anti-dark-spot-15ml/12520436/?affil=thggps&switchcurrency=GBP&shippingcountry=GB&srsltid=AfmBOopnJTcipf9JyrOCvXrVhSdlaWa-XC2gL8-aGIw88PocuSA5_epzPwU', 'name': 'LOOKFANTASTIC'}",bioderma pigmentbio c concentrate 15ml face serum,bioderma pigmentbio c concentrate,face serum, url https www lookfantastic com p bioderma pigmentbio brightening vitamin c face serum anti dark spot 15ml 12520436 affil thggps switchcurrency gbp shippingcountry gb srsltid afmboopnjtcipf9jyrocvxrvhsdlawa xc2gl8 agiw88pocusa5 epzpwu name lookfantastic ,15.0,ml,False,No match >= 65 (enhanced)
PRD0738429e,Medik8 C-Tetra | 30ml Travel Size 8ML,BRDb124c631,Medik8 C-Tetra,CATaa8afa4d,face serum,30.0,ml,12.0,GBP,20251125_201541,20251125,"{'url': 'https://skinbooth.co.uk/products/medik8-c-tetra?variant=55188865155450&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop0kn8fUBaoxQP6DbAmp5x2TiWuKKus4acrR5a5xGDd-718nUlNADc', 'name': 'Skin Booth'}",medik8 c tetra 30ml travel size 8ml,medik8 c tetra,face serum, url https skinbooth co uk products medik8 c tetra variant 55188865155450 country gb currency gbp utm medium product sync utm source google utm content sag organic utm campaign sag organic srsltid afmboop0kn8fubaoxqp6dbamp5x2tiwukkus4acrr5a5xgdd 718nulnadc name skin booth ,30.0,ml,False,No match >= 65 (enhanced)
PRD0df01158,Scented Body Butter for Men | 150g Body Moisturizer Scented | Natural Skin Nourishing Lotion for Daily Routine Nighttime Morning Post Sleep Airplane,BRD9e0102eb,Scented Body Butter,CAT140eaa99,body butter,150.0,g,8.79,GBP,20251125_201725,20251125,"{'url': 'https://www.amazon.co.uk/Moisturizer-Nourishing-Nighttime-Airplane-Professionals/dp/B0FV755K1M?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AL2P2ZZ1TMUA2', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}",scented body butter for men 150g body moisturizer scented natural skin nourishing lotion for daily routine nighttime morning post sleep airplane,scented body butter,body butter, url https www amazon co uk moisturizer nourishing nighttime airplane professionals dp b0fv755k1m source ps sl shoppingads lpcontext ref fplfs psc 1 smid al2p2zz1tmua2 name amazon co uk amazon co uk seller ,150.0,g,False,No match >= 65 (enhanced)
PRD25bfff3a,Neal's Yard Remedies Rejuvenating Frankincense Facial Serum 30ml,BRDe00b01b2,Neal's Yard Remedies,CATaa8afa4d,face serum,30.0,ml,39.2,GBP,20251125_201450,20251125,"{'url': 'https://www.nealsyardremedies.com/products/rejuvenating-frankincense-facial-serum-30ml?srsltid=AfmBOoq1W7VypI0Fm6cGKgN8KiyuGVqHdtgj8GWac51PHMngTLk7Vg7qkK8', 'name': ""Neal's Yard Remedies""}",neal s yard remedies rejuvenating frankincense facial serum 30ml,neal s yard remedies,face serum, url https www nealsyardremedies com products rejuvenating frankincense facial serum 30ml srsltid afmbooq1w7vypi0fm6cgkgn8kiyugvqhdtgj8gwac51phmngtlk7vg7qkk8 name neal s yard remedies ,30.0,ml,False,No match >= 65 (enhanced)
PRD260c3ccc,Clarins Double Serum Light Texture 50ml,BRDabf57398,Clarins Double Serum,CATaa8afa4d,face serum,50.0,ml,73.6,GBP,20251125_201437,20251125,"{'url': 'https://www.clarins.co.uk/double-serum-light-texture/80112930.html', 'name': 'Clarins UK'}",clarins double serum light texture 50ml,clarins double serum,face serum, url https www clarins co uk double serum light texture 80112930 html name clarins uk ,50.0,ml,False,No match >= 65 (enhanced)
PRD28807741,"Biotin Shampoo & Conditioner Bars, 2×60g — Rosemary & Mint — Plastic-Free, Sulfate-Free — Rich Lather, Scalp-Refreshing — Travel-Friendly Solid Set",BRDfbabce4a,Biotin Shampoo,CATa55d3f5b,conditioner bar,60.0,g,7.95,GBP,20251125_201221,20251125,"{'url': 'https://www.amazon.co.uk/Biotin-Shampoo-Conditioner-Bars-2%C3%9760g/dp/B0FFHHZ8LN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1XYUGK4WXFBFP', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}",biotin shampoo conditioner bars 2 60g rosemary mint plastic free sulfate free rich lather scalp refreshing travel friendly solid set,biotin shampoo,conditioner bar, url https www amazon co uk biotin shampoo conditioner bars 2 c3 9760g dp b0ffhhz8ln source ps sl shoppingads lpcontext ref fplfs psc 1 smid a1xyugk4wxfbfp name amazon co uk amazon co uk seller ,60.0,g,False,No match >= 65 (enhanced)
PRD29558ae7,Olay Anti-Wrinkle Firm Lift 2In1 Booster Firming Serum 50ml,BRD889292f7,Olay Anti-Wrinkle Firm,CATaa8afa4d,face serum,50.0,ml,13.0,GBP,20251125_201600,20251125,"{'url': 'https://www.sainsburys.co.uk/shop/gb/groceries/olay-antiwrinkle-2-in-1-day-cream---serum-50ml?utm_source=google&utm_medium=free_listing&utm_campaign=merchant_center&deeplink=true', 'name': 'sainsburys.co.uk'}",olay anti wrinkle firm lift 2in1 booster firming serum 50ml,olay anti wrinkle firm,face serum, url https www sainsburys co uk shop gb groceries olay antiwrinkle 2 in 1 day cream serum 50ml utm source google utm medium free listing utm campaign merchant center deeplink true name sainsburys co uk ,50.0,ml,False,No match >= 65 (enhanced)
PRD2f1e78ed,"Rice Water Shampoo Bar, 65 g — Plastic-Free & Sulfate-Free — Strengthening & Shine — For All Hair Types — Travel-Friendly Solid Shampoo",BRDd059f4bf,Rice Water Shampoo,CATa842003f,shampoo bar,65.0,g,6.6,GBP,20251125_201021,20251125,{'name': 'Amazon.co.uk - Amazon.co.uk-Seller'},rice water shampoo bar 65 g plastic free sulfate free strengthening shine for all hair types travel friendly solid shampoo,rice water shampoo,shampoo bar, name amazon co uk amazon co uk seller ,65.0,g,False,No match >= 65 (enhanced)
PRD3023751e,Moisturizing Body Butter With Hyaluronic Acid 4 Oz,BRDc7749bff,Moisturizing Body Butter,CAT140eaa99,body butter,4.0,oz,9.09,GBP,20251125_201826,20251125,"{'url': 'https://www.ebay.co.uk/itm/363583483887?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay'}",moisturizing body butter with hyaluronic acid 4 oz,moisturizing body butter,body butter, url https www ebay co uk itm 363583483887 chn ps ul gb mkevt 1 mkcid 28 google free listing action view item name ebay ,4.0,oz,False,No match >= 65 (enhanced)
PRD31690a6b,DOVE Body Love Pro Age Body Butter (240 g,BRD06052c83,DOVE Body Love,CAT140eaa99,body butter,240.0,g,38.67,GBP,20251125_201814,20251125,"{'url': 'https://www.ebay.co.uk/itm/306292008268?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay'}",dove body love pro age body butter 240 g,dove body love,body butter, url https www ebay co uk itm 306292008268 chn ps ul gb mkevt 1 mkcid 28 google free listing action view item name ebay ,240.0,g,False,No match >= 65 (enhanced)
