product_name,brand_name,category_name,size_value,size_unit,price,currency,retailer_name,retailer_url,region,source_name,discount,price_per_unit,is_bundle,has_rating,high_rating,has_reviews,popular,timestamp
Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier,Shampoo Bar,,,4.0,GBP,Amazon.co.uk,https://www.amazon.co.uk/Garnier-Ultimate-Treasures-Strengthening-Shampoo/dp/B08V83YFXX?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3P5ROKL5A1OLE,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
Friendly Soap Lavender & Geranium Shampoo Bar,Friendly Soap,Shampoo Bar,,,3.25,GBP,Friendly Soap,,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,Little Soap Company,Shampoo Bar,,,5.5,GBP,Amazon.co.uk,https://www.amazon.co.uk/Eco-Warrior-Deeply-Nourishing-Shampoo/dp/B08285QVPD?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3P5ROKL5A1OLE,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
weDo Professional No Plastic Shampoo Bar,weDo,Shampoo Bar,,,6.3,GBP,LOOKFANTASTIC,https://www.lookfantastic.com/p/wedo-professional-no-plastic-shampoo-bar-80g/12759323/?affil=thggps&switchcurrency=GBP&shippingcountry=GB&srsltid=AfmBOorXEDtEXYnisB_U5zsuY75H1VnBgqaHmSyypyZvMfTL_Btm7OeVUgo,GB,Oxylabs Google Shopping,,,False,True,True,True,False,20251008_144428
Biovene Pink Heaven Nourish Restore Solid Shampoo Bar,Biovene,Shampoo Bar,,,3.79,GBP,Justmylook,https://www.justmylook.com/products/biovene-nourish-restore-solid-shampoo-pink-heaven-40g?utm_source=google&utm_medium=cpc&utm_campaign=All%20Products%20-%20UK&utm_content=Biovene%20Nourish%20Restore%20Solid%20Shampoo%20Pink%20Heaven%2040g&srsltid=AfmBOopKEqI81NLCYeTI2cpTznVTaOAnBM4egAN7dofB5ivD3u6zSjVteDw,GB,Oxylabs Google Shopping,,,False,True,True,True,False,20251008_144428
Kitsch Shampoo Bar Rice Water Protein,Kitsch,Shampoo Bar,,,11.99,GBP,Amazon.co.uk - Amazon.co.uk-Seller,https://www.amazon.co.uk/Kitsch-Shampoo-Strengthening-Natural-Moisturizing/dp/B09FB1YXF1?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A18LMB9B8SE8VW,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
Faith in Nature - Shampoo Bar Lavender & Geranium,Faith in Nature,Shampoo Bar,85.0,g,7.0,GBP,Holland & Barrett,https://www.hollandandbarrett.com/shop/product/faith-in-nature-shampoo-bar-lavender-geranium-60038895?skuid=038895,GB,Oxylabs Google Shopping,,8.24,False,True,True,True,True,20251008_144428
Davines Momo Shampoo Bar,Davines,Shampoo Bar,,,18.5,GBP,Sephora UK,https://www.sephora.co.uk/p/davines-solid-shampoo-bar-love-smoothing?option=623923curr=GBP&srsltid=AfmBOoqTN_RrWCUFJpu4u6trtyqyVky6t1upt41ZVp4Yj8izQW5OIUFpJTY,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
Eco Warrior Sensitive Scalp Shampoo Bar,Eco Warrior,Shampoo Bar,,,4.15,GBP,Ocado,,GB,Oxylabs Google Shopping,,,False,True,True,True,False,20251008_144428
Soaphoria Hair Care Solid Shampoo,Soaphoria,Shampoo Bar,,,6.16,GBP,Notino.co.uk,https://www.notino.co.uk/soaphoria/hair-care-organic-shampoo-bar-for-wavy-and-curly-hair/p-16225289/,GB,Oxylabs Google Shopping,,,False,False,False,False,False,20251008_144428
Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier,Shampoo Bar,,,4.0,GBP,Boots.com,,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
Faith in Nature - Shampoo Bar Lavender & Geranium,Faith in Nature,Shampoo Bar,85.0,g,7.0,GBP,Holland & Barrett,https://www.hollandandbarrett.com/shop/product/faith-in-nature-shampoo-bar-lavender-geranium-60038895?skuid=038895,GB,Oxylabs Google Shopping,,8.24,False,True,True,True,True,20251008_144428
Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,Garnier,Shampoo Bar,,,4.0,GBP,Tesco,https://www.tesco.com/groceries/en-GB/products/309169539,GB,Oxylabs Google Shopping,,,False,True,True,True,False,20251008_144428
Goats Milk Shampoo Bar with Tea Tree,Goats Milk,Shampoo Bar,,,4.19,GBP,Superdrug.com,https://www.superdrug.com/hair/shampoo/shampoo-bars/goats-of-the-gorge-goats-milk-shampoo-bar-tea-tree-95g/p/mp-00018213,GB,Oxylabs Google Shopping,,,False,True,True,True,False,20251008_144428
Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,Little Soap Company,Shampoo Bar,,,5.5,GBP,sainsburys.co.uk,,GB,Oxylabs Google Shopping,,,False,True,True,True,True,20251008_144428
Faith in Nature Dragon Fruit Shampoo Bar,Faith in Nature,Shampoo Bar,,,4.5,GBP,Amazon.co.uk,https://www.amazon.co.uk/Faith-Nature-Natural-Shampoo-Revitalising/dp/B089WM2H5Q?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3P5ROKL5A1OLE,GB,Oxylabs Google Shopping,,,False,True,True,True,False,20251008_144428
Shampoo Bar,Shampoo Bar,Shampoo Bar,,,12.0,GBP,Soapology,https://soapology.co.uk/products/mojito-shampoo-bar,GB,Oxylabs Google Shopping,,,False,False,False,False,False,20251008_144428
