brand_id,brand_name
BRDec140568,Little Soap Company
BRD162d58fc,Garnier
BRD84858b44,Kitsch
BRD29cd4600,Faith in Nature
BRDc686bb67,Alberto Balsam
BRDc360e6fd,Nature Triangle
BRDf76fce2c,Eco Warrior
BRD2cd68e6f,The Highland
BRD4e7e12ed,Handmade Solid
BRD6003a530,Friendly Soap
BRD3fc86590,OGX Coconut
BRD3922bcfe,Folk Soap
BRDca8a196f,Mint
BRDc09ecb02,Bleach London
BRD0aa3e2c2,Only Curls
BRD17c01d32,Davines
BRD6685437a,Amphora Twilight
BRDd3216cda,Tropical Mango
BRD0ed254f3,OnBuy Mini
BRDa8d1ddf7,The Little
BRDd7296ac2,Scottish Fine
BRD8d2bed0b,J.R.Liggett's Original
BRD29659e87,Nature Usman's
BRD464aaf4d,Beauty Kitchen
BRD62532888,Yorkshire Goddess
BRDc83c948f,Clarins Nourishing
BRDf129f64e,FOAmie Aloe
BRDaaa615e0,Intense Moisture
BRDef981f03,Wideye Green
BRD59cd474c,Old Guys
BRD8301ac0d,Naked Soap
BRD98921133,Head
BRD27ab859d,Arista Shampoo
BRDe4130bc1,Classy Camomille*
BRDa3a87320,Citrus Burst
BRD04af006a,Ancient Wisdom
BRD26c40693,Areton HandMade
BRD5c58c0d3,Goats Of
BRD77c998a0,Bounty Hunter
BRDa435f839,Aussie Nourishing
BRD397dcdf1,Natural Vegan
BRD9bc586f1,Gently Does
BRD21d79d21,ATTITUDE Detox
BRDb5cf0ce0,Herbal Essences
BRDc832dc42,KinKind Shampoo
BRDf571eefe,Shampoo Bars
BRDcf7bde0d,Project Lavender
BRD8d937c83,"Green Soap,"
BRD87cbdc1c,Hydrating Conditioning
BRDd0bb8c23,Traditional Chinese
BRD8acdc358,Turmeric Shampoo
BRD0034d4a8,New Dawn
BRD927bfd3e,J.R. Liggett's
BRDb9cfd4c9,Marcel's Green
BRDbe3fac9e,Rainforest Revival
BRDa4a6260d,Ethique Heali
BRD8f118902,Building Blocks
BRD0c603f99,Natural Shampoo
BRDc2e1536a,Pink Sheep
BRD3937a918,Skoon Solid
BRD7caa4e08,Waterworld Sports
BRD2fb722da,Shampoo
BRD74ae9a78,Wideye Hair
BRD52633366,Bree Probiotic
BRDe346c232,Lavender
BRDa33d20c3,Friendly Shampoo
BRDbbdc4863,Dry
BRD9c1a3733,Handmade Natural
BRD047f5210,Arista Anti-Dandruff
BRD037b0bba,SeoulGlow Cypress
BRD909cea0c,Orange
BRD7a0f2ca5,Skoon Shampoo
BRD8de545fa,Nope. Unisex
BRD0e0e3189,Wideye No
BRDc4cef4cb,Tea Tree
BRD3fc25bad,Argan Solid
BRDe597591c,Kelpie Shampoo
BRD8e677c9b,Hair Blocks
BRDa84d0515,Alternative
BRDa4d13795,Coconut Shampoo
BRD6f27626c,Sage
BRDcbacde73,Alana Aloe
BRDa5013231,"Rose, Lavender"
BRDd447aee7,Solid Syndet
BRD4fd164f6,Arista Curly
BRD959a5c38,Yao Secret
BRD28e882fd,Shampoo Soap
BRD9c1bc681,Turmeric
BRD8fafa05e,Ayurveda Shampoo
BRD118e66e3,Ginger Hair
BRD1d22f544,Wideye Rehydrating
BRDebc8a156,Kaurilan Sauna
BRD3b3e67fd,Eden Project
BRDb8aecded,Abhati Suisse
BRD775544fe,Citrus Shampoo
BRDbca6d9f7,Hair Bars
BRDd7bde942,Allbestaye Natural
BRD1e8587da,Onion Rosemary
BRDda4eb39f,Sink Or
BRD47e662cf,Dr.Organic Coconut
BRD34c4d977,Bergamot Shampoo
BRD3773aa1d,Malva
BRD4f1e3d60,Shampoo Bar
BRD9c01a65c,KinKind Anti
BRDe0e416ba,KinKind Give
BRDff44b670,Dalia Botanique
BRD596b1ea5,"Solid Shampoo,"
BRD25e149d6,Curly Hair
BRD4b75b19d,Suzuki-sasaki Cypress
BRD23ba7f6f,Natural Triangle
BRDe6e0d1cb,Pineapple Anti-Dandruff
BRD56d95885,Grüum Twin
BRDf39f899e,Herbal Shampoo
BRD7e9ce173,Herbishh Tea
BRDe705a726,Vanilla Coconut
BRD720167f8,Triangle Shampoo
BRD0de91bba,ROWSE Universal
BRD0630498e,Solid Shampoo
BRD595a9e29,Natural Usmanthus
BRD11dd0f4a,Hair Shampoo
BRDbd72aefb,ETHIQUE SHAMPOO
BRDdace54fe,PHOGARY Hair
BRDf95f4fce,Phogary Hair
BRD4868ac26,KinKind Make
BRD8a92bc53,SeaBar Shampoo
BRD17cd9cac,Viori Hidden
BRD99796c93,VIORI Terrace
BRD70590311,Ultra Nourishing
BRDee2acbc6,Hair Regrowth
BRD03a36461,KDMD Unisex
BRD737c1893,Mimosu Rice
BRD255ab7ee,The Body
BRD3f4591f3,Luscious Locks
BRDb46e7f6a,Cacumen Biotae
BRDb6d878d0,Denuotop Hair
BRD76074702,Earth Rhythm
BRD66cda5ac,Unbrand Citrus
BRDbbe12708,FOAMIE Shake
BRD829b54c5,Earthy Sapo
BRD08f472cd,Lush Angel
BRD5d69be95,Écrin
BRD2c9885bd,Ditanpu Unisex
