retailer_id,source_id,retailer_name
RET0ad38a55,SRC00000001,Amazon.co.uk
RET6003a530,SRC00000001,Friendly Soap
RET90893039,SRC00000001,LOOKFANTASTIC
RET4c6e3d55,SRC00000001,Justmylook
RETa0fa6f9c,SRC00000001,Amazon.co.uk - Amazon.co.uk-Seller
RET6c06f88c,SRC00000001,Holland & Barrett
RETad31297e,SRC00000001,Sephora UK
RET283501d6,SRC00000001,Ocado
RET5d405dd5,SRC00000001,Notino.co.uk
RETd0241f94,SRC00000001,Boots.com
RET100de238,SRC00000001,Tesco
RETf5b28a6c,SRC00000001,Superdrug.com
RET8444dfc9,SRC00000001,sainsburys.co.uk
RET18e3760b,SRC00000001,Soapology
RET20c40eed,SRC00000001,The Earthling Co.
RET0f11defc,SRC00000001,Bare Bar
RETc09ecb02,SRC00000001,Bleach London
RETf4bf3041,SRC00000001,Soul and Soap
RETb2ec6b78,SRC00000001,Juniper
RETd8d204ab,SRC00000001,Washla
RETe2176146,SRC00000001,Hairy Jayne
RET9db3f2b6,SRC00000001,grüum
RET9edfdf8b,SRC00000001,New Dawn Organic Skin and Hair Care
RETb78f90a4,SRC00000001,Etsy - BattleGreenBox
RET8d7b8737,SRC00000001,FabFinds
RET008fba75,SRC00000001,Tappermade
RET3e664d40,SRC00000001,Psychic Sisters
RETd727216d,SRC00000001,The Scottish Fine Soaps Company
RET8026398c,SRC00000001,Bomb Cosmetics UK
RET0a20c13d,SRC00000001,mypure.co.uk
RETf84234cb,SRC00000001,John And Ginger
RETb76d61f2,SRC00000001,Wild Venus
RET310710e8,SRC00000001,skinsolace.co.uk
RETbffaa7d4,SRC00000001,The Good Soap - Let's Go Back To The Bar
RET3474f61b,SRC00000001,Silktown Soap Co.
RET5ba463fd,SRC00000001,Annings of Dorset
RET330cc3df,SRC00000001,Rituals
RETa6c50edc,SRC00000001,Cyrils Soap Shed
RET7f134d20,SRC00000001,SintraNaturals
RETe55aa808,SRC00000001,REGN
RETb27cc288,SRC00000001,Ethical Superstore
RET78f095b5,SRC00000001,Paper Plane
RETcd67d3d9,SRC00000001,The Soap People
RETa2f2cd01,SRC00000001,TAOS Gifts
RETec140568,SRC00000001,Little Soap Company
RET8ce345ae,SRC00000001,North Laine Hair Company
RETae67e2fb,SRC00000001,Boozyshop
RET7e6e9c9f,SRC00000001,The Dartmoor Skincare Company
RET0af485b6,SRC00000001,Paper Tiger
RET75f3fd1e,SRC00000001,Ecoliving
RET42e2b1ed,SRC00000001,Buddha & Bubbles Soap Co
RET28253998,SRC00000001,eBay
RET6adb005a,SRC00000001,Plantx UK
RETbcadf2fb,SRC00000001,HealthStuff
RETe876f4d6,SRC00000001,Battle Green
RETb080fc57,SRC00000001,The Soap Sisters
RETf3153ed5,SRC00000001,eBay - mastersconi
RETb20ba64c,SRC00000001,An'du
RET84858b44,SRC00000001,Kitsch
RETd333684a,SRC00000001,wideye.co.uk
RETe784f364,SRC00000001,Peace With The Wild
RET74c4a538,SRC00000001,Ecco-Verde.co.uk
RET23d2f343,SRC00000001,eBay - ecotraders-australia
RET8a24641c,SRC00000001,The Yorkshire Soap Company
RET048ccc30,SRC00000001,Okiki Skincare
RET720fec73,SRC00000001,Bain & Savon
RETadf2d557,SRC00000001,John Bell & Croyden
RETd862b5d5,SRC00000001,Green People
RETcd853f64,SRC00000001,The Evolution
RET5b2225bc,SRC00000001,eBay - cutpricepharmacy
RET17c01d32,SRC00000001,Davines
RETb42a1e05,SRC00000001,eBay - uceverything
RET3ce9435d,SRC00000001,Bower Collective
RET71016a8e,SRC00000001,Etsy - TheNaturalSpa
RETc08019dc,SRC00000001,Babi Pur
RET2956aa97,SRC00000001,London Loves Beauty
RETf78d55e5,SRC00000001,fruugo.co.uk
RET56a9d438,SRC00000001,Panier des Sens
RET7e67dcbc,SRC00000001,Zero Store
RET1e756ff1,SRC00000001,LA Image
RETc4b82a0d,SRC00000001,Nourished Life
RET62cefcae,SRC00000001,Cosmetify
