price_id,product_id,retailer_id,price,discount,currency,date_collected
PRC00000001,PRDc5fa35a7,RET0ad38a55,4.0,,GBP,20251008_144428
PRC00000002,PRD214bc95b,RET6003a530,3.25,,GBP,20251008_144428
PRC00000003,PRD459b7e1a,RET0ad38a55,5.5,,GBP,20251008_144428
PRC00000004,PRD70feff29,RET90893039,6.3,,GBP,20251008_144428
PRC00000005,PRD83de04d2,RET4c6e3d55,3.79,,GBP,20251008_144428
PRC00000006,PRD0f0d0418,RETa0fa6f9c,11.99,,GBP,20251008_144428
PRC00000007,PRDe42b3890,RET6c06f88c,7.0,,GBP,20251008_144428
PRC00000008,PRD29f7e218,RETad31297e,18.5,,GBP,20251008_144428
PRC00000009,PRD073ac21d,RET283501d6,4.15,,GBP,20251008_144428
PRC00000010,PRD3e61038d,RET5d405dd5,6.16,,GBP,20251008_144428
PRC00000011,PRDc5fa35a7,RETd0241f94,4.0,,GBP,20251008_144428
PRC00000012,PRDe42b3890,RET6c06f88c,7.0,,GBP,20251008_144428
PRC00000013,PRD83f84d5b,RET100de238,4.0,,GBP,20251008_144428
PRC00000014,PRDf4f90b3d,RETf5b28a6c,4.19,,GBP,20251008_144428
PRC00000015,PRD459b7e1a,RET8444dfc9,5.5,,GBP,20251008_144428
PRC00000016,PRD0b9cc6a2,RET0ad38a55,4.5,,GBP,20251008_144428
PRC00000017,PRD94df6e4e,RET18e3760b,12.0,,GBP,20251008_144428
PRC00000018,PRD1e3417eb,RET20c40eed,11.84,,GBP,20251008_144428
PRC00000019,PRD1bd7a9e5,RET0f11defc,8.5,,GBP,20251008_144428
PRC00000020,PRD1e850c4f,RET6c06f88c,7.0,,GBP,20251008_144428
PRC00000021,PRDcbfb5f45,RETa0fa6f9c,5.0,,GBP,20251008_144428
PRC00000022,PRDf3e97cb3,RETc09ecb02,9.0,,GBP,20251008_144428
PRC00000023,PRDcdbe1717,RET6003a530,3.25,,GBP,20251008_144428
PRC00000024,PRDa79d9aee,RETf4bf3041,7.99,,GBP,20251008_144428
PRC00000025,PRD5fdba4a1,RETa0fa6f9c,8.9,,GBP,20251008_144428
PRC00000026,PRDf1e29bae,RETb2ec6b78,7.75,,GBP,20251008_144428
PRC00000027,PRD0590e833,RETad31297e,18.5,,GBP,20251008_144428
PRC00000028,PRD0ab308ac,RETd8d204ab,9.3,,GBP,20251008_144428
PRC00000029,PRDdd7d2b89,RETe2176146,15.0,,GBP,20251008_144428
PRC00000030,PRD27fa7692,RETa0fa6f9c,12.99,,GBP,20251008_144428
PRC00000031,PRDbb3e9efd,RET9db3f2b6,9.0,,GBP,20251008_144428
PRC00000032,PRD5ccc60fe,RET9edfdf8b,6.45,,GBP,20251008_144428
PRC00000033,PRDbec37e07,RETb78f90a4,7.15,,GBP,20251008_144428
PRC00000034,PRD3ac1f6ed,RET8d7b8737,2.99,,GBP,20251008_144428
PRC00000035,PRD4a284ae1,RET0f11defc,8.5,,GBP,20251008_144428
PRC00000036,PRD971ea558,RET0ad38a55,7.49,,GBP,20251008_144428
PRC00000037,PRD12275e6b,RETad31297e,18.5,,GBP,20251008_144428
PRC00000038,PRD0b303547,RET008fba75,8.5,,GBP,20251008_144428
PRC00000039,PRD23d84688,RET3e664d40,14.0,,GBP,20251008_144428
PRC00000040,PRD5cbb3d08,RETa0fa6f9c,4.49,,GBP,20251008_144428
PRC00000041,PRD5cb13c22,RETd727216d,6.99,,GBP,20251008_144428
PRC00000042,PRD1800de9b,RET0f11defc,8.5,,GBP,20251008_144428
PRC00000043,PRD19e5fe61,RET8026398c,6.99,,GBP,20251008_144428
PRC00000044,PRDf4f90b3d,RETa0fa6f9c,7.71,,GBP,20251008_144428
PRC00000045,PRD6b91c54a,RET9edfdf8b,17.35,,GBP,20251008_144428
PRC00000046,PRD1d4513c4,RET0a20c13d,6.95,,GBP,20251008_144451
PRC00000047,PRD56b42ec0,RETf5b28a6c,9.99,,GBP,20251008_144451
PRC00000048,PRD543307a2,RETf84234cb,8.5,,GBP,20251008_144451
PRC00000049,PRDc0f51385,RET0ad38a55,5.5,,GBP,20251008_144451
PRC00000050,PRDb1455940,RETb76d61f2,8.99,,GBP,20251008_144451
PRC00000051,PRDd6c90b95,RET310710e8,8.0,,GBP,20251008_144451
PRC00000052,PRD12275e6b,RETad31297e,18.5,,GBP,20251008_144451
PRC00000053,PRD5cbb3d08,RETa0fa6f9c,4.49,,GBP,20251008_144451
PRC00000054,PRDc1de79e7,RETbffaa7d4,4.75,,GBP,20251008_144451
PRC00000055,PRDf8a181a9,RET3474f61b,8.0,,GBP,20251008_144451
PRC00000056,PRDe5fcf401,RETe2176146,15.0,,GBP,20251008_144451
PRC00000057,PRD3b18e103,RETa0fa6f9c,8.95,,GBP,20251008_144451
PRC00000058,PRD774a51f0,RET5ba463fd,10.0,,GBP,20251008_144451
PRC00000059,PRDd6c0c142,RET330cc3df,14.0,,GBP,20251008_144451
PRC00000060,PRD6d5835f8,RET283501d6,5.45,,GBP,20251008_144451
PRC00000061,PRDe1842d97,RETa0fa6f9c,8.09,,GBP,20251008_144451
PRC00000062,PRD0c1a388a,RETa6c50edc,38.0,,GBP,20251008_144451
PRC00000063,PRD69f2e196,RETd727216d,6.99,,GBP,20251008_144451
PRC00000064,PRDb7ef7897,RET7f134d20,2.0,,GBP,20251008_144451
PRC00000065,PRD91ed722f,RETa0fa6f9c,3.98,,GBP,20251008_144451
PRC00000066,PRD911246d1,RET0ad38a55,9.0,,GBP,20251008_144451
PRC00000067,PRD41cac8eb,RET0ad38a55,4.99,,GBP,20251008_144451
PRC00000068,PRD071b7656,RETa0fa6f9c,4.99,,GBP,20251008_144451
PRC00000069,PRDa52c4b6e,RETa0fa6f9c,3.95,,GBP,20251008_144451
PRC00000070,PRDda0a46c8,RETa0fa6f9c,28.8,,GBP,20251008_144451
PRC00000071,PRDca37b098,RETa0fa6f9c,8.99,,GBP,20251008_144451
PRC00000072,PRD9afb4075,RETe55aa808,2.33,,GBP,20251008_144451
PRC00000073,PRD52fad04d,RETb27cc288,3.75,,GBP,20251008_144451
PRC00000074,PRDa5594821,RETa0fa6f9c,4.99,,GBP,20251008_144451
PRC00000075,PRD34ea7b7a,RET78f095b5,6.95,,GBP,20251008_144451
PRC00000076,PRD2e32377b,RETcd67d3d9,6.95,,GBP,20251008_144451
PRC00000077,PRDd39ffea1,RETa2f2cd01,3.95,,GBP,20251008_144451
PRC00000078,PRD0e3c7fdc,RETec140568,52.8,,GBP,20251008_144451
PRC00000079,PRDc212abe0,RETa0fa6f9c,6.99,,GBP,20251008_144451
PRC00000080,PRDbc45741b,RET8ce345ae,18.5,,GBP,20251008_144451
PRC00000081,PRDfe31d110,RETb27cc288,3.75,,GBP,20251008_144451
PRC00000082,PRD19e5fe61,RET8026398c,6.99,,GBP,20251008_144451
PRC00000083,PRDf52f358e,RET9db3f2b6,12.0,,GBP,20251008_144451
PRC00000084,PRD83de04d2,RET4c6e3d55,3.79,,GBP,20251008_144451
PRC00000085,PRD1fd22000,RETa0fa6f9c,4.99,,GBP,20251008_144451
PRC00000086,PRD537412d6,RET283501d6,5.45,,GBP,20251008_144518
PRC00000087,PRDb4b4d3db,RETae67e2fb,8.66,,GBP,20251008_144518
PRC00000088,PRD3caca25d,RET7e6e9c9f,6.85,,GBP,20251008_144518
PRC00000089,PRD8becfca2,RET0af485b6,9.0,,GBP,20251008_144518
PRC00000090,PRDadf2e7de,RET75f3fd1e,9.5,,GBP,20251008_144518
PRC00000091,PRD30970a99,RET0f11defc,10.0,,GBP,20251008_144518
PRC00000092,PRDa52c4b6e,RETa0fa6f9c,3.95,,GBP,20251008_144518
PRC00000093,PRD32014ad2,RET42e2b1ed,8.5,,GBP,20251008_144518
PRC00000094,PRD0ab75d56,RET28253998,8.84,,GBP,20251008_144518
PRC00000095,PRDda0a46c8,RETa0fa6f9c,28.8,,GBP,20251008_144518
