product_id,product_name,brand_id,category_id,size_value,size_unit
PRDc5fa35a7,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,BRD162d58fc,CAT4f1e3d60,,
PRD214bc95b,Friendly Soap Lavender & Geranium Shampoo Bar,BRD6003a530,CAT4f1e3d60,,
PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,BRDec140568,CAT4f1e3d60,,
PRD70feff29,weDo Professional No Plastic Shampoo Bar,BRD0f80f0d0,CAT4f1e3d60,,
PRD83de04d2,Biovene Pink Heaven Nourish Restore Solid Shampoo Bar,BRD084ed629,CAT4f1e3d60,,
PRD0f0d0418,Kitsch Shampoo Bar Rice Water Protein,BRD84858b44,CAT4f1e3d60,,
PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,BRD29cd4600,CAT4f1e3d60,85.0,g
PRD29f7e218,Davines Momo Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRD073ac21d,Eco Warrior Sensitive Scalp Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRD3e61038d,Soaphoria Hair Care Solid Shampoo,BRD128c8ab4,CAT4f1e3d60,,
PRD83f84d5b,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,BRD162d58fc,CAT4f1e3d60,,
PRDf4f90b3d,Goats Milk Shampoo Bar with Tea Tree,BRDd5794134,CAT4f1e3d60,,
PRD0b9cc6a2,Faith in Nature Dragon Fruit Shampoo Bar,BRD29cd4600,CAT4f1e3d60,,
PRD94df6e4e,Shampoo Bar,BRD4f1e3d60,CAT4f1e3d60,,
PRD1e3417eb,The Earthling Co. Shampoo Bar,BRDb27b7ec7,CAT4f1e3d60,,
PRD1bd7a9e5,Citrus Burst Shampoo Bar,BRDa3a87320,CAT4f1e3d60,,
PRD1e850c4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,BRD29cd4600,CAT4f1e3d60,,
PRDcbfb5f45,Alberto Balsam Sunkissed Raspberry Shampoo Bar,BRDc686bb67,CAT4f1e3d60,,
PRDf3e97cb3,Bleach London Rose Shampoo Bar,BRDc09ecb02,CAT4f1e3d60,,
PRDcdbe1717,Friendly Soap Fragrance Free Shampoo Bar,BRD6003a530,CAT4f1e3d60,,
PRDa79d9aee,Freesia Solid Shampoo Bar,BRD4db76a4f,CAT4f1e3d60,,
PRD5fdba4a1,Amphora Aromatics Twilight Shampoo Bar,BRD90005e4e,CAT4f1e3d60,,
PRDf1e29bae,The Highland Soap Co. Seaweed Shampoo Bar,BRD2cd68e6f,CAT4f1e3d60,,
PRD0590e833,Davines Love Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRD0ab308ac,Natural Eucalyptus Hydrating Shampoo Bar,BRDb4b4abbc,CAT4f1e3d60,,
PRDdd7d2b89,Hairy Jayne Musk Shampoo Bar with Holder Bundle,BRDe2176146,CAT4f1e3d60,,
PRD27fa7692,Kitsch Castor Oil Nourishing Shampoo Bar,BRD84858b44,CAT4f1e3d60,,
PRDbb3e9efd,grüum hår Nourishing Coconut Shampoo Bar,,CAT4f1e3d60,50.0,g
PRD5ccc60fe,New Dawn UK Patchouli Shampoo Bar,BRD0034d4a8,CAT4f1e3d60,,
PRDbec37e07,Natural Vegan Shampoo Bar,BRD397dcdf1,CAT4f1e3d60,,
PRD3ac1f6ed,Garnier Ultimate Blends Argan & Camellia Shampoo Bar,BRD162d58fc,CAT4f1e3d60,60.0,g
PRD4a284ae1,Bay Rum Shampoo Bar,BRD5314c2e9,CAT4f1e3d60,,
PRD971ea558,OGX Coconut Milk Shampoo Bar,BRD3fc86590,CAT4f1e3d60,,
PRD12275e6b,Davines Volu Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRD0b303547,Kelpie Shampoo Bar for Curly Hair,BRDe597591c,CAT4f1e3d60,,
PRD23d84688,Rosemary and Biotin Shampoo Bar,BRD4a60d61e,CAT4f1e3d60,,
PRD5cbb3d08,Handmade Solid Shampoo Bar,BRD4e7e12ed,CAT4f1e3d60,,
PRD5cb13c22,Scottish Fine Soaps Vetiver & Sandalwood Shampoo Bar Wrapped,BRDd7296ac2,CAT4f1e3d60,100.0,g
PRD1800de9b,Mint & Tea Tree Shampoo Bar,BRDca8a196f,CAT4f1e3d60,,
PRD19e5fe61,Bomb Cosmetics Shampoo Bar,BRD6ea6ec2f,CAT4f1e3d60,,
PRD6b91c54a,New Dawn UK Lavender Shampoo Bar,BRD0034d4a8,CAT4f1e3d60,,
PRD1d4513c4,Ben & Anna Lemongrass Shampoo,BRD092f2ba9,CAT4f1e3d60,,
PRD56b42ec0,"Acala Camellia, Kokum and Lemon Conditioning Shampoo Bar",BRD81c6e4e0,CAT4f1e3d60,,
PRD543307a2,J.R. Liggett's Tea Tree & Hemp Oil Shampoo Bar,BRD927bfd3e,CAT4f1e3d60,,
PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,
PRDb1455940,Solid Lavender Shampoo Bars,BRD7ba03416,CAT4f1e3d60,,
PRDd6c90b95,"Green Tea, Peppermint & Eucalyptus Shampoo Bar",BRD8b12492c,CAT4f1e3d60,,
PRDc1de79e7,Patchouli Shampoo Bar,BRD90505ebd,CAT4f1e3d60,,
PRDf8a181a9,Dry Hair Shampoo Bar with Cocoa Butter,BRDba7edd19,CAT4f1e3d60,,
PRDe5fcf401,Hairy Jayne Floral Shampoo Bar with Holder Bundle,BRDe2176146,CAT4f1e3d60,,
PRD3b18e103,Solid Shampoo Bars for Hair,BRD0630498e,CAT4f1e3d60,,
PRD774a51f0,Annings Bergamot & Sandalwood Shampoo Bar,BRD7e710975,CAT4f1e3d60,,
PRDd6c0c142,Rituals The Ritual of Jing Shampoo & Body Bar,BRDf8e5c16f,CAT4f1e3d60,,
PRD6d5835f8,KinKind Clear My Head! Anti-Dandruff Shampoo Bar,BRDe9e45848,CAT4f1e3d60,,
PRDe1842d97,Procoal Vegan Moroccan Shampoo Bar,BRD268ae7b2,CAT4f1e3d60,,
PRD0c1a388a,Shampoo Bar Cyril's Soap Shed,BRD4f1e3d60,CAT4f1e3d60,10.0,pack
PRD69f2e196,Scottish Fine Soaps Thistle & Black Pepper Shampoo Bar,BRDd7296ac2,CAT4f1e3d60,,
PRDb7ef7897,Vegan Shampoo Bar Travel Tin,BRD43831a47,CAT4f1e3d60,,
PRD91ed722f,FOAmie Coconut Shampoo Bar,BRDc1ddbd9a,CAT4f1e3d60,,
PRD911246d1,Hair Blocks Solid Shampoo Bar,BRD8e677c9b,CAT4f1e3d60,,
PRD41cac8eb,Dr Organic Aloe Vera & Shea Shampoo & Conditioner Bar,BRDf78117d6,CAT4f1e3d60,,
PRD071b7656,Solid Shampoo Bar,BRD0630498e,CAT4f1e3d60,,
PRDa52c4b6e,FFS Beauty Undo & Renew Eco Solid Shampoo Bar,BRD8ad6b83a,CAT4f1e3d60,,
PRDda0a46c8,"L'Oreal Paris Men Expert Barber Club Solid Shampoo And Wash Bar For Hair, Face, Beard And Body",BRD2d6145f0,CAT4f1e3d60,80.0,g
PRDca37b098,"Nature Triangle Shampoo Bar, Natural Cypress Leaf Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair Vegan, for Hair Care for Women and Mens",BRDc360e6fd,CAT4f1e3d60,,
PRD9afb4075,EcoLiving Ocean Breeze Shampoo Bar,BRD3db3379e,CAT4f1e3d60,,
PRD52fad04d,Alter/Native Lavender and Geranium Shampoo Bar,BRD5d6a6f7b,CAT4f1e3d60,,
PRDa5594821,HandMade Solid Shampoo Bar,BRDeb001819,CAT4f1e3d60,,
PRD34ea7b7a,Paper Plane Solid Shampoo Bar,BRD78f095b5,CAT4f1e3d60,,
PRD2e32377b,Eco Wave Shampoo Bar Subscription,BRD51a31ea8,CAT4f1e3d60,,
PRDd39ffea1,Bounty Hunter Dry Damaged Hair Shampoo Bar,BRD77c998a0,CAT4f1e3d60,,
PRD0e3c7fdc,Eco Warrior Dry Hair Shampoo Bar (Case of 12),BRDf76fce2c,CAT4f1e3d60,100.0,g
PRDc212abe0,Foamie Hibiskiss Shampoo Bar,BRD699ac0d6,CAT4f1e3d60,,
PRDbc45741b,Davines DEDE Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRDfe31d110,Alter/Native Rose & Geranium Shampoo Bar,BRD715cc145,CAT4f1e3d60,,
PRDf52f358e,grüum Growth Shampoo Bar Prevents Hair Loss & Boosts Growth,,CAT4f1e3d60,,
PRD1fd22000,Areton Honey Solid Shampoo Bar,BRD72cc63e6,CAT4f1e3d60,,
PRD537412d6,KinKind Make Me Shine! Shampoo Bar,BRD4868ac26,CAT4f1e3d60,,
PRDb4b4d3db,Shampoo Bars Citrus,BRDf571eefe,CAT4f1e3d60,60.0,g
PRD3caca25d,Lemon & Rosemary Shampoo Bar,BRDff71ff25,CAT4f1e3d60,,
PRD8becfca2,Chunky Shampoo Bar,BRD008ce5d1,CAT4f1e3d60,,
PRDadf2e7de,Eco Living Shampoo Bar,BRDfec92d7f,CAT4f1e3d60,,
PRD30970a99,Bare Bar Deep Sea Cleanse Shampoo Bar,BRD0f11defc,CAT4f1e3d60,,
PRD32014ad2,Balance for Fine Flyaway Hair Shampoo Bar with Tin,BRD99a808d8,CAT4f1e3d60,,
PRD0ab75d56,Ethique Heali Kiwi Solid Shampoo for Touchy Scalps,BRDa4a6260d,CAT4f1e3d60,,
PRD7e461e48,Fresh Cut Pine Shampoo Bar,BRD65d52af4,CAT4f1e3d60,,
PRDc6b9f11d,Molten Lather Shampoo Bar,BRD700f7191,CAT4f1e3d60,,
PRDe1d820f1,BALANCES Oil Control Shampoo Bar,BRDe7965c31,CAT4f1e3d60,,
PRD027ec32b,KinKind Fragrance Free Shampoo Bar,BRD1111c023,CAT4f1e3d60,,
PRD66e056dc,Skoon Shampoo Bar Hydrating Power,BRD7a0f2ca5,CAT4f1e3d60,,
PRDd36ae70e,Battle Green Natural Shampoo Bars (),BRDe876f4d6,CAT4f1e3d60,55.0,g
PRD7709ba17,Castle of Wishes Shampoo Bar Starter Set,BRD11081b0c,CAT4f1e3d60,,
PRD2a432b3b,Ethique Professor Curl Solid Shampoo for Curly Hair,BRDf101ac0c,CAT4f1e3d60,108.0,g
PRD5c5ab1fe,Perfectly Balanced Shampoo Bar for Oily Hair,BRD1c7383c5,CAT4f1e3d60,,
PRD548e30a0,Kitsch Rice Water Shampoo & Conditioner Set,BRD84858b44,CAT4f1e3d60,,
PRD56624ce7,Natural Dandruff-Prone Hair Shampoo Bar,BRDcf75a4df,CAT4f1e3d60,,
PRD1ea96a21,Balancing Shampoo Bar | Hair | WiDEYE,BRD1529d26e,CAT4f1e3d60,,
PRDd0d7d496,Back to Basics Shampoo Bar,BRD0557fa92,CAT4f1e3d60,,
PRD4f5370bf,Shampoo Bar - Orange & Bergamot - Oily Hair - Travel Size,BRD4f1e3d60,CAT4f1e3d60,28.0,g
PRD715008f1,Hairy Jayne Floral Shampoo Bar,BRDe2176146,CAT4f1e3d60,,
PRDdfeb5663,Ecoliving Coconutty Shampoo Bar,BRD7dcfe31d,CAT4f1e3d60,,
PRD01565f3f,LemonGrass Solid Shampoo Bar,BRD780a2fb7,CAT4f1e3d60,,
PRD3a56b740,"Chamomile, Lemon & Rosehip Shampoo Bar | Hair | WiDEYE Add Travel Tin",BRD68739920,CAT4f1e3d60,,
PRD4a8c859e,"Hair Shampoo Bar,Scalp Cleansing Soap | Natural Solid Shampoo Bar for Women Men Home Travel Daily Care Combination Oily Dry Hair Cleansing",BRD11dd0f4a,CAT4f1e3d60,,
PRD003c61e4,Shampoo Bar - - Fragrance Free | Friendly Soap,BRD6003a530,CAT4f1e3d60,12.0,pack
PRD83fd47e1,Hair Fuel Shampoo Bar | Hair | WiDEYE,BRD8d95cbf9,CAT4f1e3d60,,
PRD7485bdf4,Bergamot Shampoo Bar,BRD34c4d977,CAT4f1e3d60,,
PRD8fa386e8,ATTITUDE Leaves Bar Nourishing Shampoo Bar,BRD163bc923,CAT4f1e3d60,,
PRDc9f655c8,Rehab Shampoo Bar,BRD904f28f8,CAT4f1e3d60,,
PRD7fa44424,grüum Scalp Repair Shampoo Bar - Solid Shampoo Bars for Hair Up to 60 Washes - Plastic Free Vegan Bar for Men & Women - Paraben Free Rich,,CAT4f1e3d60,50.0,g
PRD51d77727,Ethique Rice Shampoo Bar for Dry and Damaged Hair,BRDd05eee4d,CAT4f1e3d60,,
PRD7d4a6871,"Salty Beach Shampoo Bar | Fresh, Fruity, Soothing Hair, Sensitive Skin, Vegan | Everyday Use | The Yorkshire Soap Co.",BRD71e85483,CAT4f1e3d60,,
PRD0a220bcc,Not Guilty Shampoo Bar Coconut & Vanilla,BRD38d395ea,CAT4f1e3d60,75.0,g
PRDb04e10b3,"Nature Triangle Shampoo Bar, Natural Usman Grass Glutinous Rice Water Solid Shampoo Bar,Thinning Hair-Volume Shampoo Bar for Men and Women,Hair",BRDc360e6fd,CAT4f1e3d60,,
PRD48aaf9b8,Hår Revitalising Cocoa Butter Shampoo Bar,BRD28cb8b85,CAT4f1e3d60,50.0,g
PRD80c7c551,Olive Oil Shampoo Bar,BRDb35a8b3d,CAT4f1e3d60,,
PRDd01a2b8e,Beard Botanics Shampoo Bar for Beards and Hair,BRDa031bb9b,CAT4f1e3d60,,
PRD871e224f,Bain & Savon Botanical Shampoo Bar,BRD6eeb157d,CAT4f1e3d60,,
PRD095e331a,SOAPS4ME Handmade Herbal Blend Shampoo Bar,BRD112d189a,CAT4f1e3d60,,
PRDe7911849,Nourishing Rice Shampoo Bar with Shea Butter & Coconut Oil - Hair Growth and Strengthening Solid Shampoo Soap,BRD360e03c6,CAT4f1e3d60,,
PRDbb642fb8,Shampoo Bar – Calendula – Fine Hair - Full Size,BRD4f1e3d60,CAT4f1e3d60,60.0,g
PRD93ada8f7,Balade En Provence Lavender Solid Shampoo,BRD7f177552,CAT4f1e3d60,,
PRD4a0a50d1,Natural Shampoo Bar - Chamomile (Light Hair) - Bain & Savon,BRD0c603f99,CAT4f1e3d60,120.0,g
PRD38be4dde,- Shampoo Bars - Fragrance Free | Friendly Soap,BRD6003a530,CAT4f1e3d60,12.0,pack
PRDd25ac352,Ayurveda Shampoo Bar,BRD8fafa05e,CAT4f1e3d60,,
PRD501de264,Green People Scent Free Repairing Anti-Frizz Shampoo Bar,BRDd862b5d5,CAT4f1e3d60,,
PRD90aff6de,Balancing Natural Shampoo Bar for Oily Hair - - AA SKINCARE,BRDa3d8f6db,CAT4f1e3d60,50.0,g
PRD90003c50,Scottish Botanicals Witch Hazel Shampoo Bar,BRD105a5310,CAT4f1e3d60,,
PRD554fb229,Ethique Professor Curl Curl-Defining Solid Shampoo Bar Mini,BRDf101ac0c,CAT4f1e3d60,,
PRD6b53365b,Davines Dede Shampoo Bar,BRD17c01d32,CAT4f1e3d60,,
PRD71b003a3,Arista Curly Shampoo Bar,BRD4fd164f6,CAT4f1e3d60,,
PRD2fedfae2,ANIHANA Shampoo and Conditioner Bar,BRD7266fc25,CAT4f1e3d60,,
PRD79a816d3,Scottish Botanicals Hop Shampoo Bar,BRD105a5310,CAT4f1e3d60,,
PRD37f56027,EarthKind Tea Tree & Eucalyptus Shampoo Bar,BRDf091c2a0,CAT4f1e3d60,,
PRDccdd831f,"Patchouli Rose Shampoo Bar - Natural, Vegan, Organic Hair Care, Eco-Friendly, SLS-Free, Handmade, Aromatic Scent, Travel-Friendly",BRDe8804c07,CAT4f1e3d60,,
PRDa559d561,"Nature Triangle Shampoo Bar,Green Solid Shampoo for Hair Growth,Hair Loss Shampoos Soap Bars with Herbals Extracts, Deeply Nourishing Hairs Regrowth",BRDc360e6fd,CAT4f1e3d60,,
PRD0d77bc54,"Nature Seven Green Soap Shampoo,Nature Triangle Shampoo Bar,Usman Grass Shampoo Bar,Green Shampoo Soap Bar,Calming & Strengthens Hair For Women And",BRD932cd484,CAT4f1e3d60,,
PRD99253dde,"Shampoo Bar, Refreshing Rosemary And Onion Extracts 2-in-1 Shampoo & Conditioner, PH Balanced, Solid Bar For Oily Hair, Control Grooming Conditioner",BRD23405cc8,CAT4f1e3d60,,
PRDefaa08ab,Kaurilan Sauna Hemp Shampoo Bar,BRDebc8a156,CAT4f1e3d60,,
PRD4536cd30,Chamomile Enriching Shampoo & Body Bar Blonde Hair - Plastic Free Vegan Eco Shower Bars,BRD3946df22,CAT4f1e3d60,130.0,g
PRDb45e3549,"Nature Triangle Shampoo Bar, Usman Grass Shampoo Bar, Nourishing Hair Growth Shampoos Bars Green Soap for Men Women, Deeply Cleansing",BRDc360e6fd,CAT4f1e3d60,120.0,g
PRD42277026,KinKind Rice Water Shampoo Bar,BRD6acdc521,CAT4f1e3d60,,
PRDfd47524f,Nettle Parsley & Rosemary Shampoo Bar | Hair | WiDEYE No Travel Tin,BRD0a783dd3,CAT4f1e3d60,,
PRDb9a06d26,"Solid Shampoo, Onion Rosemary Shampoo Bar, Deep Cleansing & Moisturing, for all Hair Types (1 pc, 1)",BRD596b1ea5,CAT4f1e3d60,,
PRD6f1cec79,Almara Soap Hair Care New Hair Shampoo Bar,BRD2b787fe0,CAT4f1e3d60,,
PRD72b4043d,Hair Blocks Solid Shampoo Bar Lemon & Rosemary,BRD8e677c9b,CAT4f1e3d60,,
PRDc7a17ae5,Ethique Beauty Curl-Defining Solid Shampoo Bar,BRDd3418ce0,CAT4f1e3d60,,
PRD38cba011,Areton Solid Shampoo Bar,BRD2ccf7cac,CAT4f1e3d60,,
PRD20707d24,Klar Tea Tree & Lavender Shampoo Bar,BRD2df97284,CAT4f1e3d60,,
PRD7d750f84,grüum Hår Zero Plastic Anti-Dandruff Shampoo Bar,,CAT4f1e3d60,50.0,g
PRD0012f399,Ethique St Clements Solid Shampoo Bar,BRDf3c2b1b0,CAT4f1e3d60,,
PRDb8f51b0b,Panier des Sens Solid Shampoo for Oily Hair,BRD505cd2a0,CAT4f1e3d60,,
