retailer_id,source_id,retailer_name
RETad31297e,SRC00000001,Sephora UK
RET8444dfc9,SRC00000001,sainsburys.co.uk
RET18e3760b,SRC00000001,Soapology
RETc09ecb02,SRC00000001,Bleach London
RETb2ec6b78,SRC00000001,Juniper
RETb78f90a4,SRC00000001,Etsy - BattleGreenBox
RET8d7b8737,SRC00000001,FabFinds
RET3e664d40,SRC00000001,Psychic Sisters
RET8026398c,SRC00000001,Bomb Cosmetics UK
RET0a20c13d,SRC00000001,mypure.co.uk
RET310710e8,SRC00000001,skinsolace.co.uk
RET3474f61b,SRC00000001,Silktown Soap Co.
RET5ba463fd,SRC00000001,Annings of Dorset
RET330cc3df,SRC00000001,Rituals
RETa6c50edc,SRC00000001,Cyrils Soap Shed
RET7f134d20,SRC00000001,SintraNaturals
RET78f095b5,SRC00000001,Paper Plane
RETa2f2cd01,SRC00000001,TAOS Gifts
RETec140568,SRC00000001,Little Soap Company
RET7e6e9c9f,SRC00000001,The Dartmoor Skincare Company
RET0af485b6,SRC00000001,Paper Tiger
RET6adb005a,SRC00000001,Plantx UK
RETbcadf2fb,SRC00000001,HealthStuff
RETb080fc57,SRC00000001,The Soap Sisters
RETf3153ed5,SRC00000001,eBay - mastersconi
RETb20ba64c,SRC00000001,An'du
RET23d2f343,SRC00000001,eBay - ecotraders-australia
RET720fec73,SRC00000001,Bain & Savon
RETd862b5d5,SRC00000001,Green People
RET5b2225bc,SRC00000001,eBay - cutpricepharmacy
RETb42a1e05,SRC00000001,eBay - uceverything
RET3ce9435d,SRC00000001,Bower Collective
RET71016a8e,SRC00000001,Etsy - TheNaturalSpa
RET2956aa97,SRC00000001,London Loves Beauty
RET56a9d438,SRC00000001,Panier des Sens
RET1e756ff1,SRC00000001,LA Image
RETb87b6a76,SRC00000001,Dook
RETa4ecb460,SRC00000001,Salon Trusted
RET36647441,SRC00000001,Honey Boutique
RETba9f334c,SRC00000001,eBay - bobbys_fashion
RETca7df247,SRC00000001,lovetob.co.uk
RET2f016cde,SRC00000001,ECO 21
RET90eb5ff8,SRC00000001,eBay - lollipopzuhe
RET9be62dcc,SRC00000001,eBay - adeliaren
RETdd0fff0c,SRC00000001,eBay - bigbrandsforlessltd
RETffe76774,SRC00000001,Bizparessions.com
RETec214756,SRC00000001,eBay - krystaldirect
RET7e037096,SRC00000001,Wild Sage + Co
RETa9c0c9b8,SRC00000001,eBay - hupinger
RETc32604ec,SRC00000001,tenthousandvillagess
RET88104f61,SRC00000001,Best Health Food Shop
RET5d144fe0,SRC00000001,Mytri Designs
RETc88e7163,SRC00000001,eBay - mega-green
RETae4a6eb0,SRC00000001,Sweets & Scents
RETa5f7e293,SRC00000001,ROMY
RETf596b3ac,SRC00000001,Hanover Healthfoods
RETc3a6cd4f,SRC00000001,Weldricks Pharmacy
RETd25bbfda,SRC00000001,bodykind
RETda72338f,SRC00000001,Wild Grove
RETf74c1730,SRC00000001,Pak Cosmetic Centre
RET1f40b54e,SRC00000001,damnfynesoap
RET9b63be40,SRC00000001,Approved Food
RET9cf65adc,SRC00000001,Foxyavenue
RETa56c1ff6,SRC00000001,The Friendly Turtle Company
RETa533a440,SRC00000001,Oliver Bonas
RETef0b0644,SRC00000001,Curl Care
RET5e8233ce,SRC00000001,Arize And Dazzle
RETee8a8941,SRC00000001,Uneeka
RET9f5e3134,SRC00000001,Simply The Best Fair Toys & Gifts
RET1fe07e73,SRC00000001,Northwood Health foods
RETf98cbfeb,SRC00000001,Prior Shop
RETd5eee281,SRC00000001,www.thecotswoldecocompany.co.uk
RET068e94b1,SRC00000001,Near and Fair
RETb2169698,SRC00000001,Collectables
RET86c1a07a,SRC00000001,Yoyo Grocery Co
RET6059f4f7,SRC00000001,eBay - pt_baix
RET1e85cf76,SRC00000001,Inanna's Daughter
RETae9f7ada,SRC00000001,Etsy - FolkSoap
RET0e963057,SRC00000001,Heather's Hands
RETf816141a,SRC00000001,Refill Weigh Save
RET1e6c5be2,SRC00000001,Feather & Twigs
RETdd7b5e2b,SRC00000001,Acala
RETe51be02d,SRC00000001,BirdseyBelizaire
RET5cf6baec,SRC00000001,Shella Bella Beauty
RET9afb0c0d,SRC00000001,eBay - thebatteryshoop
RETfa72181a,SRC00000001,What a Curl Wants
RETdd85cc00,SRC00000001,eBay - healthplusliving
RETb83ba169,SRC00000001,eBay - prettynew
RET8a242c8b,SRC00000001,Smallable
RET8de8e57a,SRC00000001,Freedom Cosmetics
RET8311821a,SRC00000001,eBay - mygoodfriday
RET14868074,SRC00000001,eBay - the*gift*pot
RETa73cb026,SRC00000001,Soulful Soaps
RET9d1822ab,SRC00000001,Fern Dale Handcrafted
RETd2d890cb,SRC00000001,Sunshine Co-operative
RETde2603b9,SRC00000001,The Wee Bits
RETee702381,SRC00000001,Local Zero Hampshire
RETb6fcaca3,SRC00000001,Blue Jewel Handcrafted
RET96040364,SRC00000001,eBay - 050606boom
RET5058f1af,SRC00000001,.
RET802e6cb5,SRC00000001,La Roche-Posay Official Website
RET0469dc71,SRC00000001,No7 Beauty
RETb341dc11,SRC00000001,Stylevana UK
RETc08adf5d,SRC00000001,Fenty Beauty UK
RETdec588c4,SRC00000001,Liz Earle
RETc9696f04,SRC00000001,eBay - omg-bargains
RET8b4ef4ae,SRC00000001,Dermatica
RET17a4bdf6,SRC00000001,Face Facts
RETcca059a5,SRC00000001,Typology
RETbd08839f,SRC00000001,Carbon Theory
RETf52da4a0,SRC00000001,Trinny London UK
RET63620dfd,SRC00000001,madaboutskincare.com
RET5c7b4a9d,SRC00000001,Wild Science Lab
RET70a5e339,SRC00000001,Reliable Medicare
RET3a6d978b,SRC00000001,Nakin
RETa898eb44,SRC00000001,Tatcha UK
