brand_id,brand_name
BRD0005c8c3,StarBars Clarity
BRD000f4094,Life-flo Pure
BRD00333bb3,Advanced Niacinamide
BRD0034d4a8,New Dawn
BRD00684149,Gentle Natural Herbal
BRD007de26d,The Fragrance
BRD008b3a13,Nopalera Balance
BRD008ce5d1,Chunky Shampoo
BRD00a46ef1,Retinol Tightening Face
BRD00f3287b,Scented Whipped Shea
BRD0105a5d7,Besque Hair
BRD0121bf05,Lancome Advanced Genifique
BRD012bcb90,Vaseline Intensive Care
BRD0138899e,Mine Botanicals
BRD014c37c1,Mallows Beauty Unicorn
BRD016d3a8d,KinKind CLEAR My
BRD01841d3f,Finones Skin
BRD0197020d,Aromatic Body
BRD01ca4802,Try Me Travel
BRD01d40f1b,Scienea Super Berry
BRD01ea80ea,Best Shampoo
BRD0214d6d1,Solidu The Pink
BRD0228e1c9,Clé
BRD023e0037,Sorbet Shampoo Bar
BRD025d4f49,Solid Conditioner Bars
BRD025f6979,Marcel's Green Soap
BRD026bae58,Jojoba
BRD0279dab5,Evolve Salicylic Rescue
BRD027ea436,Men's Zero Waste
BRD028ae407,Belle Jardin Body
BRD028ec802,Dermalogica Niacinamide Ionactive
BRD02947b55,The Ordinary Matrixyl
BRD02b89f8d,American Dream Body
BRD02cb47a0,Anua Soothing
BRD02cdb33d,Balance Me Hydrate
BRD02f80db5,Clinical Super
BRD02fda913,Chey Solid Shampoo
BRD0300f136,Moisture Professional
BRD0310a231,Skin Fuel Body
BRD032aba71,"Brightening Serum,Moisturiser Face,Anti"
BRD032bb2b1,Shea Butters
BRD033484c8,Hair Conditioner Bar
BRD0359daac,Plastic Free
BRD036b76b0,Raw Roots Greenie
BRD037b0bba,SeoulGlow Cypress
BRD03965c77,Nourish Solid
BRD03a36461,KDMD Unisex
BRD03b16dfa,Pink Peptide
BRD03e82024,Ziaja Cocoa Butter
BRD040b667a,Kanu Nature
BRD040ef5de,Art Naturals Hyaluronic
BRD043cc19d,SkinCeuticals A.G.E.
BRD044d5164,Soothing Face Serum
BRD0466d559,Weleda Hyaluronic
BRD0467b24c,MALIN+GOETZ Replenishing Face
BRD0478fd2d,Cerave Resurfacing
BRD047d0005,Frizz Control
BRD047f5210,Arista Anti-Dandruff
BRD0487f411,The Moms Co
BRD0498f222,Sol Beauty Brightening
BRD04af006a,Ancient Wisdom
BRD04c0fbde,Secrets Provence
BRD04e90556,Dr Rashel Face
BRD05130517,Solid Syndet Conditioner
BRD0557fa92,Back
BRD0587b5a6,Lancome Siero Advanced
BRD05986baf,Neve's Bees
BRD05a2134f,Posy London Conditioner
BRD05ca013d,Give Me
BRD05ca8d21,"Ginger, Hop"
BRD05fcd109,Lavender Orange Luxurious
BRD05ffef54,Henna
BRD06052c83,DOVE Body Love
BRD06100c5c,Avril Shampooing Solide
BRD0624330d,British Made Rosemary
BRD063016f0,Salt Steam
BRD0630498e,Solid Shampoo
BRD06313c09,Mixa Panthenol
BRD06446ba8,Lavender Rosemary
BRD0648b4f5,Paula's Choice Boost
BRD0649490a,Kingdom Kreations
BRD0677510f,ATTIS Handmade Rhassoul
BRD067901aa,Silicium Serum
BRD06892b5c,UK Juicy Locks
BRD06a14d5a,Badger Shampoo Bar
BRD06a21369,Shine On
BRD06a5a2ff,Cuccio Lavender
BRD06b41ff1,Korres Body
BRD06bd09b9,Natava Solid Body
BRD06c5f68a,Dermaworks Triple Serum
BRD06cae19d,Brixy Conditioner Bar
BRD06cbc5f7,CMD Sandorini Body
BRD06d27754,Natural Body Butter
BRD06df3c4a,Get Fresh Hair
BRD06f04068,Aromatika Refined
BRD07150ebe,Mallows Beauty I'm
BRD07719d38,Biotherm Lait Corporel
BRD078349c1,Kopari Ultra
BRD07f9ff95,Awesome Botanical
BRD0817808c,SBC Skincare
BRD084ed629,Biovene
BRD085a0d1a,Geranium Patchouli
BRD086841ce,Freedom Cosmetics Hair
BRD086fab26,Nature Triangle
BRD08762b47,Hemp Shea Butter
BRD0895568d,Multi-Purpose Travel Soap
BRD08bc07b1,Shea Sea
BRD08c8785d,Folk Soap Solid
BRD08c9ba4b,Lady Millionaire
BRD08c9c91b,"Rose, Lavender And"
BRD08cf63e2,Anua PDRN
BRD08da0974,M'chel Haircare Weightless
BRD08dc7e94,Mary&May Citrus Unshiu
BRD08f472cd,Lush Angel
BRD08fdb993,Shampoo Bars
BRD08fe4653,Caudalie VinoHydra Hyaluronic
BRD08ff5e33,Mario Badescu Coconut
BRD09047a6f,Scienea Super
BRD090855c9,Derma V10
BRD090d2b7e,Natural Orange Shampoo
BRD090ee684,B. Brightening Serum
BRD091ae6bf,Norel Glow Skin
BRD091f600d,Solid Shampoo
BRD092867e9,Honey Girl
BRD092f2ba9,Ben
BRD093064ec,Nectar Carbonite Conditioner
BRD0939cbbc,Störtebekker Premium
BRD0965a9d4,Amazones's Coco Orange
BRD0969377d,The Organic
BRD09728c53,Skoon Shampoo Bar
BRD09807c58,Nourishing Organic Facial
BRD0980fcd5,Simple Ceramide
BRD0981ae67,Queen Helene Cocoa
BRD098f02fb,Herbal Boost
BRD09b8eee7,La Roche-Posay Mela
BRD09d62202,Carbon Theory Pow
BRD09dc2d61,Shea Cocoa Body
BRD09e13691,O Boticario Lily
BRD09ed635e,Nunaïa Nourishing Radiance
BRD09fd3cfb,Pieces Hair
BRD0a0e793b,Kiehl's Hydro-Plumping
BRD0a389b5f,OnBuy.com Handmade
BRD0a4bbc52,Wideye After
BRD0a5dc39b,CONDITIONER BAR LAVENDER
BRD0a6a3950,Alter/Native Rose
BRD0a6aea11,Clinique Deep Comfort
BRD0a783dd3,Nettle Parsley
BRD0a7ed2fd,Friendly Fragrance
BRD0a9247ae,BingoSpa Body
BRD0a9ad316,Trendyfave In
BRD0aa3e2c2,Only Curls
BRD0aadb152,Sunday Rain
BRD0ac156b0,Revolution Skin
BRD0ad3dd9d,The Ordinary Resveratrol
BRD0ada71e0,Delicate Flower Fragrance
BRD0aea3c6f,Chamomile
BRD0aea9fb6,PRAI Ageless Throat
BRD0afa7796,Tea Tree Shampoo
BRD0b0a0203,Areton Honey Solid
BRD0b0a9e87,Muji Fermented
BRD0b30ac42,Herbal Shampoo Bar
