retailer_id,source_id,retailer_name
RET00009da3,SRC00000001,"{'url': 'https://mrsbest.co.uk/products/ancient-wisdom-aromatherapy-shea-body-butter-90g-peppermint?currency=GBP&variant=48456188068113&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=2ca92736549d&srsltid=AfmBOopgqpMhLnK4TrLbzt91f_R0FBZQkUEbTeQ5y2b0EuvjoCMwZg9s3_Q', 'name': 'Mrs Best Paper Co.'}"
RET000e328b,SRC00000001,"{'url': 'https://www.johnlewis.com/sculpted-by-aimee-hydraglo-hydrating-serum-30ml/p113414312?size=30ml?utm_source=google&utm_medium=organic&utm_campaign=organicshopping&srsltid=AfmBOoo3FMsf8CUQNpPcxUinFmvh-xM00gSxooARt2KO6v3zJlUTrRfNO7U', 'name': 'John Lewis & Partners'}"
RET001bb234,SRC00000001,"{'url': 'https://snootycatz.co.uk/product/shea-body-butter/?srsltid=AfmBOopkznKmpHAD8sFygHhUZHwLa5YjV7RlyIHeWcy_WdVvzfq8Y0QVLqg', 'name': 'Snooty Catz'}"
RET0020fd6d,SRC00000001,"{'url': 'https://www.ebay.co.uk/itm/395814644451?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay'}"
RET003741ff,SRC00000001,"{'url': 'https://www.theilexwood.com/products/frankincense-and-bergamot-facial-serum?variant=44369016717623&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoo_sM0-H2pqe8vML0dN8U54-jJiRYwa_tzh136HesK6Wu4qtfiWVDw', 'name': 'The Ilex Wood'}"
RET0040848f,SRC00000001,"{'url': 'https://www.ebay.co.uk/itm/324174482059?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay - orangegroveroad'}"
RET004763c4,SRC00000001,"{'url': 'https://www.pharmacy2u.co.uk/shop/products/E45-Hyaluronic-Acid-Face-Serum-30ml_0154174?srsltid=AfmBOoopOYMvrM1ypmzSKm1F0bSiyM0AI2PmIoM5Or-M88WThtsEfdOBEZ8', 'name': 'Pharmacy2U'}"
RET0065dc81,SRC00000001,"{'url': 'https://www.praibeauty.co.uk/products/prai-beauty-ageless-jawline-uplift-serum?variant=40108404211789&bvstate=pg%3A2%2Fct%3Ar&srsltid=AfmBOor8Vhiah1km0v-cv_WgVpIjz5C9S82DOu_49roBOySFtJiyqPl1yAY', 'name': 'PRAI Beauty UK'}"
RET006bd48d,SRC00000001,{'name': 'Yao Secret'}
RET00798809,SRC00000001,"{'url': 'https://www.an-du.co.uk/products/perfectly-balanced-shampoo?variant=55715910320511&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorMSmUR0xN2PQrf-F7Ze1SulMb_mqxFUfaTbUujnpCfX9lx6U4RCZ0', 'name': ""An'du""}"
RET00863940,SRC00000001,"{'url': 'https://www.israel-catalog.com/dead-sea-cosmetics/dead-sea-minerals-aromatic-moisturizing-body-butter-360-ml?srsltid=AfmBOoqdBVdUSbWsS8m691l9D-TGYE2UHx5SrOSGI5T_Y-1ImO_20AuwwjA', 'name': 'israel catalog'}"
RET008c0335,SRC00000001,"{'url': 'https://www.johnlewis.com/neom-wellbeing-london-perfect-nights-sleep-magnesium-body-butter-200ml/p4837073?size=200ml&srsltid=AfmBOoqv8dvx61zuKb7fgEcdxX6Dgt4uuvgCthYAMcVoZPLH5cT0d5T0L7E', 'name': 'John Lewis & Partners'}"
RET008fba75,SRC00000001,Tappermade
RET00b2c513,SRC00000001,"{'url': 'https://www.justmylook.com/products/minimalist-vitamin-c-10-face-serum-30ml?utm_source=google&utm_medium=cpc&utm_campaign=All%20Products%20-%20UK&utm_content=Minimalist%20Vitamin%20C%2010%25%20Face%20Serum%2030ml&srsltid=AfmBOoq4__eTg-DDP1VYs3zJfa64sKlMl7Ubf_gU2ESurovZCwa7UApqwS4', 'name': 'Justmylook'}"
RET00baab03,SRC00000001,"{'url': 'https://www.amazon.co.uk/LOr%C3%83%C2%A9al-REVITALIFT-Regenerating-Anti-Aging-Hyaluronic/dp/B00XJFNRLC?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A8CBAXMWYQKWI', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}"
RET00d1df6a,SRC00000001,Cerqular
