product_id,product_name,brand_id,category_id,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD214bc95b,Friendly Soap Lavender & Geranium Shampoo Bar,BRD6003a530,CAT4f1e3d60,,,3.25,GBP,friendly soap,friendly soap lavender geranium shampoo bar,brd6003a530,cat4f1e3d60,No match >= threshold
PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,BRDec140568,CAT4f1e3d60,,,5.5,GBP,sainsburys.co.uk,little soap company eco warrior deeply nourishing shampoo bar,brdec140568,cat4f1e3d60,No match >= threshold
PRD459b7e1a,Little Soap Company Eco Warrior Deeply Nourishing Shampoo Bar,BRDec140568,CAT4f1e3d60,,,5.5,GBP,amazon.co.uk,little soap company eco warrior deeply nourishing shampoo bar,brdec140568,cat4f1e3d60,No match >= threshold
PRD70feff29,weDo Professional No Plastic Shampoo Bar,BRD0f80f0d0,CAT4f1e3d60,,,6.3,GBP,lookfantastic,wedo professional no plastic shampoo bar,brd0f80f0d0,cat4f1e3d60,No match >= threshold
PRD83de04d2,Biovene Pink Heaven Nourish Restore Solid Shampoo Bar,BRD084ed629,CAT4f1e3d60,,,3.79,GBP,justmylook,biovene pink heaven nourish restore solid shampoo bar,brd084ed629,cat4f1e3d60,No match >= threshold
PRD83de04d2,Biovene Pink Heaven Nourish Restore Solid Shampoo Bar,BRD084ed629,CAT4f1e3d60,,,3.79,GBP,justmylook,biovene pink heaven nourish restore solid shampoo bar,brd084ed629,cat4f1e3d60,No match >= threshold
PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,BRD29cd4600,CAT4f1e3d60,85.0,g,7.0,GBP,holland & barrett,faith in nature shampoo bar lavender geranium,brd29cd4600,cat4f1e3d60,No match >= threshold
PRDe42b3890,Faith in Nature - Shampoo Bar Lavender & Geranium,BRD29cd4600,CAT4f1e3d60,85.0,g,7.0,GBP,holland & barrett,faith in nature shampoo bar lavender geranium,brd29cd4600,cat4f1e3d60,No match >= threshold
PRD073ac21d,Eco Warrior Sensitive Scalp Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,,4.15,GBP,ocado,eco warrior sensitive scalp shampoo bar,brdf76fce2c,cat4f1e3d60,No match >= threshold
PRD3e61038d,Soaphoria Hair Care Solid Shampoo,BRD128c8ab4,CAT4f1e3d60,,,6.16,GBP,notino.co.uk,soaphoria hair care solid shampoo,brd128c8ab4,cat4f1e3d60,No match >= threshold
PRDf4f90b3d,Goats Milk Shampoo Bar with Tea Tree,BRDd5794134,CAT4f1e3d60,,,7.71,GBP,amazon.co.uk - amazon.co.uk-seller,goats milk shampoo bar with tea tree,brdd5794134,cat4f1e3d60,No match >= threshold
